run_id	cell_id	cell	seed_block_id	master_seed	H	f	e	R	alpha	u	richness	shannon	simpson	hill_q1	hill_q2	evenness	gene_diversity	top_frequency	richness_change_pct	hill_q1_change_pct	hill_q2_change_pct	evenness_change	total_variation	jensen_shannon	original_strains_lost	original_strains_retained	final_mutant_richness	mutant_abundance_fraction	generated_mutant_lineages	maximum_mutants_in_one_transition	adult_mutant_lineages	released_mutant_lineages	root_richness	root_hill_q1	root_hill_q2	root_evenness	root_total_variation	infection_richness_g5	pooled_adult_richness_g5	release_richness_g5	median_original_occupancy_hosts_g5	median_original_occupancy_fraction_g5	original_strains_in_pooled_adults_g5	elapsed_minutes	output_mib	peak_rss_mib
p01-s01-c0001-sb0001	p01-s01-c0001	c0001	sb0001	666	100	0.0	0	0	0.0	0.0	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	0	0	0	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	66	51	0	3.0	0.03	51	0.10217994005070068	0.1199197769165039	108.15234375
p01-s01-c0001-sb0002	p01-s01-c0001	c0001	sb0002	667	100	0.0	0	0	0.0	0.0	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	0	0	0	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	68	46	0	3.5	0.035	46	0.06825841858323353	0.12141895294189453	104.63671875
p01-s01-c0001-sb0003	p01-s01-c0001	c0001	sb0003	668	100	0.0	0	0	0.0	0.0	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	0	0	0	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	74	54	0	2.5	0.025	54	0.10235581239879442	0.1217641830444336	105.82421875
p01-s01-c0002-sb0001	p01-s01-c0002	c0002	sb0001	666	100	0.0	0	0	0.0	1e-10	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	25568	5	574	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	66	169	0	3.0	0.03	50	0.13671654328354635	1.0326862335205078	107.5390625
p01-s01-c0002-sb0002	p01-s01-c0002	c0002	sb0002	667	100	0.0	0	0	0.0	1e-10	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	25233	4	585	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	68	172	0	3.0	0.03	56	0.13664580209879204	1.0221548080444336	108.359375
p01-s01-c0002-sb0003	p01-s01-c0002	c0002	sb0003	668	100	0.0	0	0	0.0	1e-10	100	3.5330417033688466	0.9549670784452735	34.227920618960724	22.205976549506016	0.7671902580535777	0.9549670784452735	0.093442162	0.0	0.0	0.0	0.0	0.0	0.0	0	100	0	0.0	25319	3	550	0	100	34.227920618960724	22.205976549506016	0.7671902580535777	0.0	74	164	0	3.0	0.03	52	0.13718323556822726	1.0232954025268555	107.74609375
p01-s01-c0003-sb0001	p01-s01-c0003	c0003	sb0001	666	100	0.01	10000000	1000000000	0.5	0.0	100	3.539494915886159	0.9581635618333433	34.44951489320817	23.902608439477305	0.7685915553469865	0.9581635618333433	0.105281029	0.0	0.6474079355106577	7.640429080832445	0.0014012972934088763	0.19695985000000002	0.044041596105410544	0	100	0	0.0	0	0	0	0	100	34.44951489320817	23.902608439477305	0.7685915553469865	0.19695985000000002	65	54	54	3.0	0.03	54	0.10292244465090335	0.15111446380615234	106.25
p01-s01-c0003-sb0002	p01-s01-c0003	c0003	sb0002	667	100	0.01	10000000	1000000000	0.5	0.0	100	3.3236756051005405	0.9501793293424495	27.762206159923373	20.071989935134425	0.7217269874658081	0.9501793293424495	0.093291364	0.0	-18.890176037908756	-9.609965180383217	-0.045463270587769555	0.15971870999999999	0.03456216198544416	0	100	0	0.0	0	0	0	0	100	27.762206159923373	20.071989935134425	0.7217269874658081	0.15971870999999999	54	44	44	3.0	0.03	44	0.06859873438176388	0.14934539794921875	106.36328125
p01-s01-c0003-sb0003	p01-s01-c0003	c0003	sb0003	668	100	0.01	10000000	1000000000	0.5	0.0	100	3.317128698915026	0.9490357013247368	27.581043275977066	19.621578752056376	0.7203053448508545	0.9490357013247368	0.111247531	0.0	-19.419459969477625	-11.638298327875752	-0.046884913202723144	0.172089357	0.037302145140302306	0	100	0	0.0	0	0	0	0	100	27.581043275977066	19.621578752056376	0.7203053448508545	0.172089357	58	45	45	4.0	0.04	45	0.10291196545003914	0.15149879455566406	106.66796875
p01-s01-c0004-sb0001	p01-s01-c0004	c0004	sb0001	666	1000	0.001	1000000	1000000000	0.5	0.0	100	3.500409164538508	0.9534117251727733	33.12900439971054	21.464628250531163	0.7601041922813229	0.9534117251727733	0.104584665	0.0	-3.210584222990853	-3.338507979246441	-0.00708606577225479	0.04904809800000001	0.004854809645744659	0	100	0	0.0	0	0	0	0	100	33.12900439971054	21.464628250531163	0.7601041922813229	0.04904809800000001	94	86	86	11.5	0.0115	86	0.5804212634490492	1.0860185623168945	106.50390625
p01-s01-c0004-sb0002	p01-s01-c0004	c0004	sb0002	667	1000	0.001	1000000	1000000000	0.5	0.0	100	3.5391635279538516	0.9558819016763964	34.43810063107754	22.66643481922228	0.7685195953718014	0.9558819016763964	0.086861363	0.0	0.6140601249390087	2.073578113935781	0.0013293373182237112	0.073359737	0.007166428461029854	0	100	0	0.0	0	0	0	0	100	34.43810063107754	22.66643481922228	0.7685195953718014	0.073359737	94	86	86	11.5	0.0115	86	0.6158675449007812	1.082840919494629	106.8828125
p01-s01-c0004-sb0003	p01-s01-c0004	c0004	sb0003	668	1000	0.001	1000000	1000000000	0.5	0.0	100	3.5084968974111455	0.9541030984751488	33.39802937224822	21.787963169115972	0.7618604211601698	0.9541030984751488	0.09639986	0.0	-2.424603165208883	-1.882436376793084	-0.005329836893407824	0.07750448899999998	0.007145358042346376	0	100	0	0.0	0	0	0	0	100	33.39802937224822	21.787963169115972	0.7618604211601698	0.07750448899999998	94	89	89	11.0	0.011	89	0.6158786331827286	1.085007667541504	106.4296875
p01-s01-c0005-sb0001	p01-s01-c0005	c0005	sb0001	666	10000	0.0001	100000	1000000000	0.5	0.0	100	3.5373696868930824	0.9551316875695419	34.37637952758634	22.287443985104474	0.7681300677347496	0.9551316875695419	0.094246243	0.0	0.43373627711225105	0.3668716636570091	0.0009398096811719103	0.02426212900000001	0.0008050898631056858	0	100	0	0.0	0	0	0	0	100	34.37637952758634	22.287443985104474	0.7681300677347496	0.02426212900000001	100	100	100	86.5	0.00865	100	5.321419592184247	10.757938385009766	106.9921875
