cell_id	cell	label	H	f	R	alpha	u	m	richness_mean	richness_median	richness_minimum	richness_maximum	richness_sd	shannon_mean	shannon_median	shannon_minimum	shannon_maximum	shannon_sd	simpson_mean	simpson_median	simpson_minimum	simpson_maximum	simpson_sd	hill_q1_mean	hill_q1_median	hill_q1_minimum	hill_q1_maximum	hill_q1_sd	hill_q2_mean	hill_q2_median	hill_q2_minimum	hill_q2_maximum	hill_q2_sd	evenness_mean	evenness_median	evenness_minimum	evenness_maximum	evenness_sd	total_variation_mean	total_variation_median	total_variation_minimum	total_variation_maximum	total_variation_sd	original_strains_lost_mean	original_strains_lost_median	original_strains_lost_minimum	original_strains_lost_maximum	original_strains_lost_sd	final_mutant_richness_mean	final_mutant_richness_median	final_mutant_richness_minimum	final_mutant_richness_maximum	final_mutant_richness_sd	mutant_abundance_fraction_mean	mutant_abundance_fraction_median	mutant_abundance_fraction_minimum	mutant_abundance_fraction_maximum	mutant_abundance_fraction_sd	root_richness_mean	root_richness_median	root_richness_minimum	root_richness_maximum	root_richness_sd	root_total_variation_mean	root_total_variation_median	root_total_variation_minimum	root_total_variation_maximum	root_total_variation_sd	infection_richness_g5_mean	infection_richness_g5_median	infection_richness_g5_minimum	infection_richness_g5_maximum	infection_richness_g5_sd	pooled_adult_richness_g5_mean	pooled_adult_richness_g5_median	pooled_adult_richness_g5_minimum	pooled_adult_richness_g5_maximum	pooled_adult_richness_g5_sd	release_richness_g5_mean	release_richness_g5_median	release_richness_g5_minimum	release_richness_g5_maximum	release_richness_g5_sd	post_return_richness_g5_mean	post_return_richness_g5_median	post_return_richness_g5_minimum	post_return_richness_g5_maximum	post_return_richness_g5_sd	post_migration_richness_g5_mean	post_migration_richness_g5_median	post_migration_richness_g5_minimum	post_migration_richness_g5_maximum	post_migration_richness_g5_sd	migration_richness_change_g5_mean	migration_richness_change_g5_median	migration_richness_change_g5_minimum	migration_richness_change_g5_maximum	migration_richness_change_g5_sd	migration_sample_tv_g5_mean	migration_sample_tv_g5_median	migration_sample_tv_g5_minimum	migration_sample_tv_g5_maximum	migration_sample_tv_g5_sd	realized_host_feedback_g5_mean	realized_host_feedback_g5_median	realized_host_feedback_g5_minimum	realized_host_feedback_g5_maximum	realized_host_feedback_g5_sd	expected_host_feedback_after_migration_g5_mean	expected_host_feedback_after_migration_g5_median	expected_host_feedback_after_migration_g5_minimum	expected_host_feedback_after_migration_g5_maximum	expected_host_feedback_after_migration_g5_sd	realized_migration_fraction_mean	realized_migration_fraction_median	realized_migration_fraction_minimum	realized_migration_fraction_maximum	realized_migration_fraction_sd	elapsed_minutes_mean	elapsed_minutes_median	elapsed_minutes_minimum	elapsed_minutes_maximum	elapsed_minutes_sd	output_mib_mean	output_mib_median	output_mib_minimum	output_mib_maximum	output_mib_sd	peak_rss_mib_mean	peak_rss_mib_median	peak_rss_mib_minimum	peak_rss_mib_maximum	peak_rss_mib_sd
p01-s01-c0001	c0001	No return, mutation off	100	0.0	0	0.0	0.0	0.1	100.0	100.0	100.0	100.0	0.0	3.533030883866669	3.5330156235152725	3.5329966823923344	3.5330803456923983	4.3869644264984674e-05	0.9549660111459769	0.954966401509933	0.9549631151516729	0.954968516776325	2.721888174452199e-06	34.22755031386006	34.22702797144294	34.22637967923804	34.22924329089918	0.0015015655619986996	22.205450325016567	22.20564275405546	22.204022400033825	22.20668582096042	0.0013420970379643936	0.7671879086285313	0.7671845948853296	0.7671804818727431	0.7671986491275209	9.526172213674854e-06	7.830666666666577e-05	7.025899999999597e-05	6.415999999999364e-05	0.00010050100000000769	1.9461263431073185e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	7.830666666666577e-05	7.025899999999597e-05	6.415999999999364e-05	0.00010050100000000769	1.9461263431073185e-05	69.66666666666667	68.0	67.0	74.0	3.7859388972001824	50.666666666666664	52.0	46.0	54.0	4.163331998932266	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041054000000000004	0.00039661	0.00039029	0.00044472	2.9768941869001666e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.0685292160390721	0.0685025543498341	0.06848639693344012	0.06859869683394208	6.0712034786814885e-05	0.13861529032389322	0.13900375366210938	0.1375141143798828	0.1393280029296875	0.0009673291795617776	94.80208333333333	95.02734375	94.109375	95.26953125	0.6120027145292297
p01-s01-c0002	c0002	No return, within-host mutation on	100	0.0	0	0.0	1e-10	0.1	100.0	100.0	100.0	100.0	0.0	3.533030883866669	3.5330156235152725	3.5329966823923344	3.5330803456923983	4.3869644264984674e-05	0.9549660111459769	0.954966401509933	0.9549631151516729	0.954968516776325	2.721888174452199e-06	34.22755031386006	34.22702797144294	34.22637967923804	34.22924329089918	0.0015015655619986996	22.205450325016567	22.20564275405546	22.204022400033825	22.20668582096042	0.0013420970379643936	0.7671879086285313	0.7671845948853296	0.7671804818727431	0.7671986491275209	9.526172213674854e-06	7.830666666666577e-05	7.025899999999597e-05	6.415999999999364e-05	0.00010050100000000769	1.9461263431073185e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	7.830666666666577e-05	7.025899999999597e-05	6.415999999999364e-05	0.00010050100000000769	1.9461263431073185e-05	69.66666666666667	68.0	67.0	74.0	3.7859388972001824	168.33333333333334	170.0	163.0	172.0	4.725815626252609	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041054000000000004	0.00039661	0.00039029	0.00044472	2.9768941869001666e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.10295211498871341	0.10292597411704871	0.10266857333287287	0.1032617975162187	0.00029747477507365976	1.0434150695800781	1.0402450561523438	1.0397720336914062	1.0502281188964844	0.005905012134024417	96.39192708333333	96.31640625	96.21484375	96.64453125	0.22457823606614988
p01-s01-c0003	c0003	Matched return R=1e9, H=100	100	0.01	1000000000	0.5	0.0	0.1	100.0	100.0	100.0	100.0	0.0	3.442216875597815	3.4648191736506213	3.332799636212561	3.5290318169302615	0.10004956319373416	0.9530637670786154	0.9527352838409542	0.950055927265313	0.9564000901295793	0.0031848118531794412	31.359430651097	31.970678109398033	28.01666848847978	34.09094535541319	3.082925145945032	21.371884934206278	21.157431616324487	20.022395957017807	22.93582722927654	1.4685071037304067	0.7474678972931915	0.7523759239545248	0.7237082456481401	0.7663195222769096	0.021725486605934714	0.13863050633333332	0.12994724500000002	0.12626344800000003	0.15968082599999997	0.018322924401850845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.13863050633333332	0.12994724500000002	0.12626344800000003	0.15968082599999997	0.018322924401850845	64.66666666666667	67.0	56.0	71.0	7.76745346515403	48.666666666666664	51.0	41.0	54.0	6.8068592855540455	48.666666666666664	51.0	41.0	54.0	6.8068592855540455	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15410474	0.1444943	0.14028396	0.17753596	0.020400938550596142	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.06862337398892528	0.06865268970044175	0.06850685279932804	0.06871057946700602	0.00010497950746256094	0.1684840520222982	0.1685943603515625	0.16669559478759766	0.17016220092773438	0.0017359336042421709	95.50390625	95.5234375	95.390625	95.59765625	0.10488844986013712
p01-s01-c0004	c0004	Matched return R=1e9, H=1000	1000	0.001	1000000000	0.5	0.0	0.1	100.0	100.0	100.0	100.0	0.0	3.5022095623054543	3.5069863860494035	3.481144690820409	3.518497610046551	0.019129131644934676	0.9537773223140015	0.953776770453527	0.9529243535656379	0.9546308429228397	0.0008532448124502658	33.19274274504903	33.34761935146103	32.49689969613785	33.73370918754822	0.6327831397255823	21.639318596347138	21.634143910143653	21.242406121694057	22.041405757203698	0.39952495218585965	0.7604951436890307	0.7615324177855415	0.7559209649650526	0.7640320483164983	0.004153838158498002	0.05241699066666667	0.056358169	0.043058238000000006	0.05783456500000001	0.008138465757996672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.05241699066666667	0.056358169	0.043058238000000006	0.05783456500000001	0.008138465757996672	93.33333333333333	94.0	90.0	96.0	3.055050463303893	85.33333333333333	86.0	80.0	90.0	5.033222956847166	85.33333333333333	86.0	80.0	90.0	5.033222956847166	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058240433333333334	0.06242987	0.04794314	0.06434829	0.00896915666708043	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.3420905177500875	0.34204639699989153	0.3419127197169776	0.3423124365333933	0.0002034781653636768	1.101575533548991	1.1004266738891602	1.1000280380249023	1.1042718887329102	0.0023436032293147205	96.55989583333333	96.49609375	96.41796875	96.765625	0.18239859215265572
p01-s01-c0005	c0005	Matched return R=1e9, H=10000	10000	0.0001	1000000000	0.5	0.0	0.1	100.0	100.0	100.0	100.0	0.0	3.532895909930073	3.53313276422247	3.5251291586667732	3.5404258069009766	0.0076510742230819825	0.9550240755473659	0.9551956355402984	0.9546708620302704	0.9552057290715289	0.0003059335080330416	34.22359849203895	34.23103758454465	33.958159323599695	34.481598567972505	0.2617989031878778	22.234800926610234	22.319254207911595	22.06086514744208	22.324283424477034	0.15065379089468944	0.7671585994105993	0.7672100316667008	0.765472070802616	0.7687936957624809	0.0016614096578583823	0.01750011900000001	0.017951914000000003	0.01647079400000001	0.018077649000000008	0.0008936357139657047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.01750011900000001	0.017951914000000003	0.01647079400000001	0.018077649000000008	0.0008936357139657047	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01948339666666667	0.01995384	0.01839827	0.02009808	0.000942510586907825	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	3.1985437343003773	3.1963125478835233	3.133256226600497	3.266062428417111	0.06643120844045268	10.778207461039225	10.778182029724121	10.775200843811035	10.78123950958252	0.0030194132110006396	98.12760416666667	98.1484375	97.76953125	98.46484375	0.3481240999950963
p01-s01-c0006	c0006	Matched return R=1e9, H=100000	100000	1e-05	1000000000	0.5	0.0	0.1	100.0	100.0	100.0	100.0	0.0	3.5337309240994585	3.532903193957282	3.5325004261650212	3.535789152176072	0.001793817879591219	0.9549760525428649	0.9549908417590429	0.9549320762587685	0.9550052396107832	3.875899516082132e-05	34.25155609280559	34.22318005813043	34.20939883895619	34.322089381330144	0.061471042719709074	22.210413575787868	22.217700554329152	22.188730187388792	22.22480998564567	0.01911185503189246	0.7673399204336366	0.7671601811170106	0.7670727212021771	0.7677868589817225	0.0003895226033228946	0.004281603333333339	0.004175157000000003	0.004045342000000012	0.004624311000000005	0.0003038081502368427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.004281603333333339	0.004175157000000003	0.004045342000000012	0.004624311000000005	0.0003038081502368427	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004801923333333333	0.00464225	0.00460846	0.00515506	0.0003062916421212527	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	31.540089578111335	31.53993686261723	31.233046883683226	31.847284988033547	0.307119080651928	111.51900005340576	111.53138065338135	111.48185062408447	111.54376888275146	0.03276319781255711	102.3203125	102.60546875	101.4296875	102.92578125	0.7877561122471932
p01-s01-c0007	c0007	Mutation bracket u=1e-12	100	0.01	1000000000	0.5	1e-12	0.1	101.33333333333333	101.0	101.0	102.0	0.5773502691896257	3.451206020635251	3.4794961234755335	3.3886856703247905	3.485436268105428	0.05422561186158262	0.9547536806479568	0.9567597603964801	0.9501556711787227	0.9573456103686675	0.0039927526040130215	31.569006628095867	32.44337050385166	29.62698704114434	32.63666233929161	1.684612860715922	22.21110507265495	23.126606354850015	20.062462945094865	23.44424591801997	1.8675441004878965	0.7472687417063139	0.752327908497409	0.7342572437618852	0.7552210728596477	0.011360761817551586	0.15039870800000002	0.15165304300000004	0.13748639899999998	0.16205668200000004	0.012333074186681588	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	1.0	1.0	2.0	0.5773502691896257	1.6666666666666667e-09	2e-09	1e-09	2e-09	5.773502691896258e-10	100.0	100.0	100.0	100.0	0.0	0.15039870700000002	0.15165304300000002	0.137486397	0.162056681	0.01233307476101706	63.666666666666664	64.0	63.0	64.0	0.5773502691896258	51.0	52.0	48.0	53.0	2.6457513110645907	50.0	51.0	46.0	53.0	3.605551275463989	101.66666666666667	102.0	101.0	102.0	0.5773502691896257	101.33333333333333	101.0	101.0	102.0	0.5773502691896257	-0.3333333333333333	0.0	-1.0	0.0	0.5773502691896258	0.16717840333333334	0.16854513	0.15287022	0.18011986	0.013676135286272697	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.09149677657244158	0.1029087827502129	0.06853561906706697	0.10304592790004487	0.019885063934722363	0.17870235443115234	0.1790637969970703	0.17757415771484375	0.17946910858154297	0.0009978427948049001	95.49348958333333	95.30078125	95.0546875	96.125	0.560575229756137
p01-s01-c0008	c0008	Mutation bracket u=1e-11	100	0.01	1000000000	0.5	1e-11	0.1	104.0	103.0	102.0	107.0	2.6457513110645907	3.4512092481168906	3.47951312986161	3.388682865369577	3.485431749119485	0.05423023988585696	0.9547536073067356	0.9567592448915283	0.9501549393206007	0.9573466377080777	0.00399337802058105	31.569113682307776	32.443922253027694	29.62690393888913	32.63651485500651	1.6847572505132582	22.21110320372804	23.126330645509057	20.06216837475523	23.444810590919825	1.8678324451851942	0.7431147095367342	0.7446267032510061	0.7326924940264063	0.7520249313327904	0.00975450546134017	0.15040167166666665	0.15164907400000002	0.137488035	0.162067906	0.01233732240115595	0.0	0.0	0.0	0.0	0.0	4.0	3.0	2.0	7.0	2.6457513110645907	6e-09	7e-09	2e-09	9e-09	3.6055512754639886e-09	100.0	100.0	100.0	100.0	0.0	0.15040167033333338	0.15164907400000002	0.137488033	0.162067904	0.01233732250226403	63.666666666666664	64.0	63.0	64.0	0.5773502691896258	61.333333333333336	62.0	59.0	63.0	2.0816659994661326	52.333333333333336	51.0	51.0	55.0	2.309401076758503	104.66666666666667	104.0	103.0	107.0	2.081665999466133	104.0	103.0	102.0	107.0	2.6457513110645907	-0.6666666666666666	0.0	-2.0	0.0	1.1547005383792517	0.16718118	0.16854072	0.15287205	0.18013077	0.01368012118982503	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.09146666123318331	0.10268506388335179	0.06869558773275154	0.10301933208344659	0.019721036359150804	0.2602405548095703	0.2610359191894531	0.2575492858886719	0.26213645935058594	0.002394784638545174	95.51822916666667	95.59765625	95.1484375	95.80859375	0.3371691931043609
p01-s01-c0009	c0009	Mutation bracket u=1e-10	100	0.01	1000000000	0.5	1e-10	0.1	136.33333333333334	134.0	131.0	144.0	6.8068592855540455	3.4577817446856103	3.4854048043205665	3.3886920584231293	3.4992483713131355	0.06023246340351269	0.9548850751342126	0.9567582966627716	0.9501557497385369	0.9577411790013292	0.004125094356072242	31.784460857091165	32.63563548252366	29.62717630185555	33.0905707868943	1.8820597817243507	22.284005535201903	23.125823518128207	20.062494565659975	23.663698521817533	1.9425912129794045	0.7037471044357367	0.7116208260538655	0.6818550022215594	0.7177654850317853	0.01920643936302936	0.15086236233333333	0.15165591	0.13750264799999998	0.163428529	0.01298114458863295	0.0	0.0	0.0	0.0	0.0	36.333333333333336	34.0	31.0	44.0	6.8068592855540455	4.600000000000001e-08	4.8e-08	4.1e-08	4.9e-08	4.358898943540672e-09	100.0	100.0	100.0	100.0	0.0	0.15086235066666667	0.151655905	0.137502623	0.16342852400000002	0.012981154880264495	63.0	63.0	62.0	64.0	1.0	173.66666666666666	169.0	166.0	186.0	10.785793124908958	79.0	81.0	74.0	82.0	4.358898943540674	140.33333333333334	139.0	136.0	146.0	5.131601439446884	136.33333333333334	134.0	131.0	144.0	6.8068592855540455	-4.0	-5.0	-5.0	-2.0	1.7320508075688772	0.16770556666666667	0.16854836	0.15288826	0.18168008	0.014414400791574144	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.1031203287330249	0.10297722000007828	0.10286161658295896	0.10352214961603749	0.0003527549489818304	1.0780925750732422	1.0799732208251953	1.0717353820800781	1.0825691223144531	0.005656421412848712	97.23177083333333	97.28125	96.7265625	97.6875	0.48237574636074243
p01-s01-c0010	c0010	Mutation bracket u=1e-9	100	0.01	1000000000	0.5	1e-09	0.1	448.3333333333333	444.0	438.0	463.0	13.051181300301261	3.4582566317382235	3.485422552106766	3.3884686618132758	3.5008786812946293	0.0609302350401839	0.9550033920769518	0.9567571946958062	0.9501183948221176	0.9581345867129317	0.0042862222092437076	31.80044526760889	32.63621469794456	29.620558430342733	33.14456267453937	1.904871224989157	22.352923312075365	23.125234197121305	20.047470333681282	23.886065405423516	2.0324987351954906	0.5664770107083122	0.5730511518025981	0.5520722299890118	0.5743076503333265	0.012490715664755785	0.15562170866666666	0.15163194	0.138274371	0.17695881500000002	0.01964841577347702	0.0	0.0	0.0	0.0	0.0	348.3333333333333	344.0	338.0	363.0	13.051181300301261	4.32e-07	4.21e-07	4.18e-07	4.57e-07	2.170253441421068e-08	100.0	100.0	100.0	100.0	0.0	0.155621573	0.151631848	0.13827419999999999	0.17695867100000004	0.01964842241298726	62.0	61.0	61.0	64.0	1.7320508075688772	1172.6666666666667	1176.0	1163.0	1179.0	8.504900548115382	317.6666666666667	322.0	299.0	332.0	16.921386861996073	480.6666666666667	480.0	471.0	491.0	10.016652800877813	448.3333333333333	444.0	438.0	463.0	13.051181300301261	-32.333333333333336	-33.0	-36.0	-28.0	4.041451884327381	0.17296798333333332	0.16852173	0.1537424	0.19663982	0.02179160474109773	0.5	0.5	0.5	0.5	0.0	0.45	0.45	0.45	0.45	0.0	0.10000000000000002	0.1	0.1	0.1	1.6996749443881478e-17	0.1369822519443308	0.13701189501637903	0.13684424555006747	0.13709061526654598	0.00012583140740596882	9.248300552368164	9.25329303741455	9.227126121520996	9.264482498168945	0.019172073421246272	109.73958333333333	109.921875	109.13671875	110.16015625	0.5355172900137266
