cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	post_return_richness	post_migration_richness	realized_host_feedback	expected_host_feedback_after_migration	migration_replacement_count	realized_migration_fraction	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0001	c0001	sb0001	0	100	0.9549670784452735								
p01-s01-c0001	c0001	sb0001	1	100	0.954967388093185	100	100	0.0	0.0	100000000	0.1	3.33	0.5307747220309094
p01-s01-c0001	c0001	sb0001	2	100	0.9549668776149857	100	100	0.0	0.0	100000000	0.1	3.39	0.5156879845086711
p01-s01-c0001	c0001	sb0001	3	100	0.954968402367893	100	100	0.0	0.0	100000000	0.1	3.37	0.53843822706024
p01-s01-c0001	c0001	sb0001	4	100	0.9549661178279036	100	100	0.0	0.0	100000000	0.1	3.24	0.5134992945996494
p01-s01-c0001	c0001	sb0001	5	100	0.9549664024648994	100	100	0.0	0.0	100000000	0.1	3.19	0.5250249942486196
p01-s01-c0001	c0001	sb0002	0	100	0.9549670784452735								
p01-s01-c0001	c0001	sb0002	1	100	0.9549674356418006	100	100	0.0	0.0	100000000	0.1	3.44	0.5343038785308056
p01-s01-c0001	c0001	sb0002	2	100	0.9549679547000757	100	100	0.0	0.0	100000000	0.1	3.58	0.5781115728623657
p01-s01-c0001	c0001	sb0002	3	100	0.9549669024591274	100	100	0.0	0.0	100000000	0.1	3.47	0.5299853812697355
p01-s01-c0001	c0001	sb0002	4	100	0.954968577721694	100	100	0.0	0.0	100000000	0.1	3.45	0.5370658034428675
p01-s01-c0001	c0001	sb0002	5	100	0.9549685177312935	100	100	0.0	0.0	100000000	0.1	3.3	0.5283468167308996
p01-s01-c0001	c0001	sb0003	0	100	0.9549670784452735								
p01-s01-c0001	c0001	sb0003	1	100	0.9549674523579729	100	100	0.0	0.0	100000000	0.1	3.54	0.5322567302503729
p01-s01-c0001	c0001	sb0003	2	100	0.9549668402643415	100	100	0.0	0.0	100000000	0.1	3.33	0.5416110426034232
