run_id	cell_id	cell	seed_block_id	master_seed	H	f	e	R	alpha	u	m	richness	shannon	simpson	hill_q1	hill_q2	evenness	gene_diversity	top_frequency	richness_change_pct	hill_q1_change_pct	hill_q2_change_pct	evenness_change	total_variation	jensen_shannon	original_strains_lost	original_strains_retained	final_mutant_richness	mutant_abundance_fraction	generated_mutant_lineages	maximum_mutants_in_one_transition	adult_mutant_lineages	released_mutant_lineages	root_richness	root_hill_q1	root_hill_q2	root_evenness	root_total_variation	infection_richness_g5	pooled_adult_richness_g5	release_richness_g5	median_original_occupancy_hosts_g5	median_original_occupancy_fraction_g5	original_strains_in_pooled_adults_g5	migration_total_emigrants	migration_total_immigrants	migration_emigrant_richness_g5	migration_immigrant_richness_g5	migration_sample_tv_g5	post_return_richness_g5	post_migration_richness_g5	migration_richness_change_g5	realized_host_feedback_g5	expected_host_feedback_after_migration_g5	realized_migration_fraction	elapsed_minutes	output_mib	peak_rss_mib
p01-s01-c0001-v210-m010-sb0001	p01-s01-c0001	c0001	sb0001	666	100	0.0	0	0	0.0	0.0	0.1	100	3.5330156235152725	0.954966401509933	34.22702797144294	22.20564275405546	0.7671845948853296	0.954966401509933	0.093453274	0.0	-0.002607951349764548	-0.001503178434014707	-5.663168248015715e-06	7.025899999999597e-05	8.003846162800282e-09	0	100	0	0.0	0	0	0	0	100	34.22702797144294	22.20564275405546	0.7671845948853296	7.025899999999597e-05	67	52	0	3.0	0.03	52	500000000	500000000	100	100	0.00039661	100	100	0	0.0	0.0	0.1	0.06848639693344012	0.1375141143798828	94.109375
p01-s01-c0001-v210-m010-sb0002	p01-s01-c0001	c0001	sb0002	667	100	0.0	0	0	0.0	0.0	0.1	100	3.5330803456923983	0.954968516776325	34.22924329089918	22.20668582096042	0.7671986491275209	0.954968516776325	0.093439192	0.0	0.003864307017598101	0.003194056576716342	8.391073943236904e-06	6.415999999999364e-05	7.091351863108544e-09	0	100	0	0.0	0	0	0	0	100	34.22924329089918	22.20668582096042	0.7671986491275209	6.415999999999364e-05	68	46	0	3.5	0.035	46	500000000	500000000	100	100	0.00039029	100	100	0	0.0	0.0	0.1	0.0685025543498341	0.13900375366210938	95.02734375
p01-s01-c0001-v210-m010-sb0003	p01-s01-c0001	c0001	sb0003	668	100	0.0	0	0	0.0	0.0	0.1	100	3.5329966823923344	0.9549631151516729	34.22637967923804	22.204022400033825	0.7671804818727431	0.9549631151516729	0.09344884	0.0	-0.004501996308314826	-0.008800105988737705	-9.776180834530912e-06	0.00010050100000000769	1.2223098251928537e-08	0	100	0	0.0	0	0	0	0	100	34.22637967923804	22.204022400033825	0.7671804818727431	0.00010050100000000769	74	54	0	2.5	0.025	54	500000000	500000000	100	100	0.00044472	100	100	0	0.0	0.0	0.1	0.06859869683394208	0.1393280029296875	95.26953125
p01-s01-c0002-v210-m010-sb0001	p01-s01-c0002	c0002	sb0001	666	100	0.0	0	0	0.0	1e-10	0.1	100	3.5330156235152725	0.954966401509933	34.22702797144294	22.20564275405546	0.7671845948853296	0.954966401509933	0.093453274	0.0	-0.002607951349764548	-0.001503178434014707	-5.663168248015715e-06	7.025899999999597e-05	8.003846162800282e-09	0	100	0	0.0	25573	5	569	0	100	34.22702797144294	22.20564275405546	0.7671845948853296	7.025899999999597e-05	67	170	0	3.0	0.03	50	500000000	500000000	100	100	0.00039661	100	100	0	0.0	0.0	0.1	0.10266857333287287	1.0502281188964844	96.21484375
p01-s01-c0002-v210-m010-sb0002	p01-s01-c0002	c0002	sb0002	667	100	0.0	0	0	0.0	1e-10	0.1	100	3.5330803456923983	0.954968516776325	34.22924329089918	22.20668582096042	0.7671986491275209	0.954968516776325	0.093439192	0.0	0.003864307017598101	0.003194056576716342	8.391073943236904e-06	6.415999999999364e-05	7.091351863108544e-09	0	100	0	0.0	25234	4	585	0	100	34.22924329089918	22.20668582096042	0.7671986491275209	6.415999999999364e-05	68	172	0	3.0	0.03	56	500000000	500000000	100	100	0.00039029	100	100	0	0.0	0.0	0.1	0.10292597411704871	1.0397720336914062	96.64453125
p01-s01-c0002-v210-m010-sb0003	p01-s01-c0002	c0002	sb0003	668	100	0.0	0	0	0.0	1e-10	0.1	100	3.5329966823923344	0.9549631151516729	34.22637967923804	22.204022400033825	0.7671804818727431	0.9549631151516729	0.09344884	0.0	-0.004501996308314826	-0.008800105988737705	-9.776180834530912e-06	0.00010050100000000769	1.2223098251928537e-08	0	100	0	0.0	25302	3	549	0	100	34.22637967923804	22.204022400033825	0.7671804818727431	0.00010050100000000769	74	163	0	3.0	0.03	52	500000000	500000000	100	100	0.00044472	100	100	0	0.0	0.0	0.1	0.1032617975162187	1.0402450561523438	96.31640625
p01-s01-c0003-v210-m010-sb0001	p01-s01-c0003	c0003	sb0001	666	100	0.01	10000000	1000000000	0.5	0.0	0.1	100	3.5290318169302615	0.9564000901295793	34.09094535541319	22.93582722927654	0.7663195222769096	0.9564000901295793	0.114618528	0.0	-0.4001857579150059	3.2867308408769835	-0.0008707357766680746	0.15968082599999997	0.025239271919069647	0	100	0	0.0	0	0	0	0	100	34.09094535541319	22.93582722927654	0.7663195222769096	0.15968082599999997	71	54	54	3.5	0.035	54	500000000	500000000	100	100	0.17753596	100	100	0	0.5	0.45	0.1	0.06865268970044175	0.1685943603515625	95.59765625
p01-s01-c0003-v210-m010-sb0002	p01-s01-c0003	c0003	sb0002	667	100	0.01	10000000	1000000000	0.5	0.0	0.1	100	3.332799636212561	0.950055927265313	28.01666848847978	20.022395957017807	0.7237082456481401	0.950055927265313	0.097457356	0.0	-18.146741076173324	-9.83330135299446	-0.04348201240543759	0.12994724500000002	0.021988132847640535	0	100	0	0.0	0	0	0	0	100	28.01666848847978	20.022395957017807	0.7237082456481401	0.12994724500000002	56	41	41	5.0	0.05	41	500000000	500000000	100	100	0.1444943	100	100	0	0.5	0.45	0.1	0.06871057946700602	0.16669559478759766	95.390625
p01-s01-c0003-v210-m010-sb0003	p01-s01-c0003	c0003	sb0003	668	100	0.01	10000000	1000000000	0.5	0.0	0.1	100	3.4648191736506213	0.9527352838409542	31.970678109398033	21.157431616324487	0.7523759239545248	0.9527352838409542	0.11763838	0.0	-6.594740401239219	-4.721904172256963	-0.014814334099052862	0.12626344800000003	0.019592478233397617	0	100	0	0.0	0	0	0	0	100	31.970678109398033	21.157431616324487	0.7523759239545248	0.12626344800000003	67	51	51	3.0	0.03	51	500000000	500000000	100	100	0.14028396	100	100	0	0.5	0.45	0.1	0.06850685279932804	0.17016220092773438	95.5234375
p01-s01-c0004-v210-m010-sb0001	p01-s01-c0004	c0004	sb0001	666	1000	0.001	1000000	1000000000	0.5	0.0	0.1	100	3.518497610046551	0.953776770453527	33.73370918754822	21.634143910143653	0.7640320483164983	0.953776770453527	0.10445786	0.0	-1.4438838891625005	-2.5751294390837454	-0.003158209737079365	0.043058238000000006	0.00286395810368913	0	100	0	0.0	0	0	0	0	100	33.73370918754822	21.634143910143653	0.7640320483164983	0.043058238000000006	96	90	90	10.5	0.0105	90	500000000	500000000	100	100	0.04794314	100	100	0	0.5	0.45	0.1	0.3423124365333933	1.1042718887329102	96.765625
