contrast	treatment_cell	reference_cell	response	scale	pilot_mean_difference	pilot_sd_difference	pilot_ci90_lower	pilot_ci90_upper	desired_ci_half_width	formula_required_replicates	recommended_replicates	exceeds_predeclared_cap
host-passage	p01-s02-c0022	p01-s02-c0021	D1	relative	-0.13094400549171012	0.034040126453785534	-0.14859246789357522	-0.11329554308984502	0.05	2	20	False
host-passage	p01-s02-c0022	p01-s02-c0021	D2	relative	-0.07930718574158883	0.04450736146188442	-0.10238249647619202	-0.056231875006985656	0.05	4	20	False
host-passage	p01-s02-c0022	p01-s02-c0021	TV	absolute	0.17556233196555557	0.006421226809992281	0.1722331792350611	0.17889148469605004	0.05	1	20	False
mutation	p01-s02-c0023	p01-s02-c0022	D1	relative	0.005411899501929158	0.05615891292097585	-0.02370428091417614	0.03452807991803446	0.05	5	20	False
mutation	p01-s02-c0023	p01-s02-c0022	D2	relative	0.003416955457847006	0.06542949620095476	-0.03050565658777041	0.03733956750346443	0.05	7	20	False
mutation	p01-s02-c0023	p01-s02-c0022	TV	absolute	0.0028751877083333355	0.008675626844010376	-0.001622782485079429	0.0073731579017461	0.05	1	20	False
many-vs-few-hosts	p01-s02-c0024	p01-s02-c0022	D1	relative	0.1485362367988379	0.0445819108635651	0.12542227514105353	0.17165019845662227	0.05	4	20	False
many-vs-few-hosts	p01-s02-c0024	p01-s02-c0022	D2	relative	0.08592328367875011	0.050544026548980624	0.05971820029283467	0.11212836706466556	0.05	4	20	False
many-vs-few-hosts	p01-s02-c0024	p01-s02-c0022	TV	absolute	-0.15577526417222223	0.0062185275566335055	-0.1589993253380116	-0.15255120300643288	0.05	1	20	False
weak-vs-baseline-feedback	p01-s02-c0025	p01-s02-c0022	D1	relative	0.14257749152843952	0.04294029639840579	0.1203146421955772	0.16484034086130184	0.05	3	20	False
weak-vs-baseline-feedback	p01-s02-c0025	p01-s02-c0022	D2	relative	0.08458115256331589	0.05163981659563904	0.05780794527618508	0.1113543598504467	0.05	5	20	False
weak-vs-baseline-feedback	p01-s02-c0025	p01-s02-c0022	TV	absolute	-0.14037791085613208	0.00617623733568009	-0.14358004621105594	-0.1371757755012082	0.05	1	20	False
strong-vs-baseline-feedback	p01-s02-c0026	p01-s02-c0022	D1	relative	-0.17630515828023177	0.042184106236302116	-0.19817595285199718	-0.15443436370846636	0.05	3	20	False
strong-vs-baseline-feedback	p01-s02-c0026	p01-s02-c0022	D2	relative	-0.15086448511281592	0.05135037238782964	-0.1774876269991646	-0.12424134322646724	0.05	5	20	False
strong-vs-baseline-feedback	p01-s02-c0026	p01-s02-c0022	TV	absolute	0.11690969122361111	0.015548242756279997	0.10884854086120513	0.1249708415860171	0.05	1	20	False
