cell_id	response	assessment_end_generation	window_generations	diagnostic_version	diagnostic_scope	within_seed_trend_status	within_seed_trend_direction	largest_trend_ci_to_margin_ratio	between_seed_location_status	between_seed_location_direction	between_seed_spread_status	between_seed_spread_direction	largest_spread_ci_to_margin_ratio	between_seed_distribution_status	between_seed_sd_final_window	between_seed_sd_ci90_lower	between_seed_sd_ci90_upper	heterogeneity_margin	between_seed_heterogeneity_status	rank_normalized_split_rhat_secondary	approximate_combined_ess_secondary	final_classification
p01-s02-c0021	D0	250	50	1.0.0	post_hoc_exploratory	stable	none	4.0753445704045054e-15	stable	none	stable	none	0.0	stable	0.0	0.0	0.0	5.0	negligible	1.0	3000.0	stable_with_negligible_heterogeneity
p01-s02-c0021	D1	250	50	1.0.0	post_hoc_exploratory	stable	none	0.0006311976326903874	stable	none	stable	none	0.0002910975338715791	stable	0.0006814002034282119	0.0004202340704666372	0.0008812544385997871	1.7113981153136781	negligible	1.1182077735717821	298.9208981841227	stable_with_negligible_heterogeneity
p01-s02-c0021	D2	250	50	1.0.0	post_hoc_exploratory	stable	none	0.000745735293910901	stable	none	stable	none	0.00028026646031224545	stable	0.00044485423842379737	0.00027247114958848026	0.0005863498109807977	1.1102998032027493	negligible	1.094569689603091	293.43212107398267	stable_with_negligible_heterogeneity
p01-s02-c0021	evenness	250	50	1.0.0	post_hoc_exploratory	stable	none	0.00034265756875301095	stable	none	stable	none	0.00016060751950731128	stable	4.322946097203058e-06	2.634885690082305e-06	5.630566372907484e-06	0.02	negligible	1.1182077735717821	298.92015429860356	stable_with_negligible_heterogeneity
p01-s02-c0021	TV	250	50	1.0.0	post_hoc_exploratory	stable	none	0.0001881644600181375	stable	none	stable	none	5.357110991284929e-05	stable	3.9783763067837495e-06	2.6997477840821396e-06	5.011123509009283e-06	0.05	negligible	1.0448734325341469	376.0996635902962	stable_with_negligible_heterogeneity
p01-s02-c0022	D0	250	20	1.0.0	post_hoc_exploratory	stable	none	2.9698419350359553e-15	stable	none	stable	none	0.0	stable	0.0	0.0	0.0	5.0	negligible	1.0	1200.0	stable_with_negligible_heterogeneity
p01-s02-c0022	D1	250	20	1.0.0	post_hoc_exploratory	inconclusive	none	1.4042360160110394	stable	none	stable	none	0.5647547845901661	stable	1.3988909121351403	1.063903088903288	1.6178247978928888	1.5052049249152208	uncertain	1.378477767206269	196.49200279147882	stability_unresolved
p01-s02-c0022	D2	250	20	1.0.0	post_hoc_exploratory	inconclusive	none	1.746464025214434	inconclusive	none	stable	none	0.8812738086351211	inconclusive	1.465390550967746	1.106821648415651	1.6937105172531501	1.0330487672179849	meaningful	1.384982708177077	181.7629653566915	stability_unresolved
p01-s02-c0022	evenness	250	20	1.0.0	post_hoc_exploratory	stable	none	0.7643400131895445	stable	none	stable	none	0.32156954736643434	stable	0.010043462151972667	0.007740610093731741	0.011585418321158239	0.02	negligible	1.378477767206269	196.56483387286397	stable_with_negligible_heterogeneity
p01-s02-c0022	TV	250	20	1.0.0	post_hoc_exploratory	stable	none	0.44977330979785274	stable	none	stable	none	0.16404520907660694	stable	0.013600269189461858	0.009653686936292474	0.016480076572511725	0.05	negligible	1.1409333387519143	224.13223403434154	stable_with_negligible_heterogeneity
