cell_id	response	assessment_end_generation	window_generations	previous_assessment_equivalent	current_assessment_equivalent	largest_previous_ci_to_margin_ratio	largest_current_ci_to_margin_ratio	equivalence_margin	rank_normalized_split_rhat	approximate_combined_ess	stationarity_screen_pass	full_equilibrium_status
p01-s02-c0021	D0	200	50	True	True	4.0753445704045054e-15	4.0753445704045054e-15	5.0	1.0	1800.0	True	not established: contrasting initial conditions not tested
p01-s02-c0021	D1	200	50	True	True	0.0007498340108507597	0.0006235586526588041	1.711394793488143	1.0581121361929182	213.5081270032726	False	not established: contrasting initial conditions not tested
p01-s02-c0021	D2	200	50	True	True	0.0010030487979879983	0.0007664538221384281	1.110293667422798	1.0569150408933765	187.06126744128682	False	not established: contrasting initial conditions not tested
p01-s02-c0021	evenness	200	50	True	True	0.000407056871527949	0.0003385155418648061	0.02	1.0581121361929182	213.50755058843222	False	not established: contrasting initial conditions not tested
p01-s02-c0021	TV	200	50	True	True	0.00047176367857886073	0.00025849368762404743	0.05	1.0517164548471538	248.30271220234155	False	not established: contrasting initial conditions not tested
p01-s02-c0021	D0	250	50	True	True	4.0753445704045054e-15	4.0753445704045054e-15	5.0	1.0	1800.0	True	not established: contrasting initial conditions not tested
p01-s02-c0021	D1	250	50	True	True	0.0006235586526588041	0.0007949513771645319	1.7113986434934423	1.089673647778962	181.76772012012083	False	not established: contrasting initial conditions not tested
p01-s02-c0021	D2	250	50	True	True	0.0007664538221384281	0.0007349753341384419	1.1103038522201232	1.0781988420898294	179.15124940818583	False	not established: contrasting initial conditions not tested
p01-s02-c0021	evenness	250	50	True	True	0.0003385155418648061	0.0004315549712822478	0.02	1.089673647778962	181.76730704479795	False	not established: contrasting initial conditions not tested
p01-s02-c0021	TV	250	50	True	True	0.00025849368762404743	0.00025849368762404743	0.05	1.0632688051071315	207.45468939980074	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	80	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	80	20	False	False	2.2541324930202546	1.3301538265305435	1.5072931913910352	1.465898790970771	87.7366787486621	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	80	20	False	False	2.087328250161684	2.087328250161684	1.0196521848398719	1.519984534142417	75.48796091463112	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	80	20	False	True	1.2027841648543365	0.7591562643288685	0.02	1.465898790970771	87.4875156599052	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	80	20	False	True	1.6964094492657456	0.48336291069233217	0.05	1.072049634658593	169.0596091556438	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	100	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	100	20	False	False	1.3301538265305435	2.2880828557005866	1.5020213043716732	1.289114399085104	78.32626607882159	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D2	100	20	False	False	2.087328250161684	3.097484881847441	1.0266330491982898	1.2978990009216618	83.4103784248047	False	not established: contrasting initial conditions not tested
p01-s02-c0022	evenness	100	20	True	False	0.7591562643288685	1.2658504000437316	0.02	1.289114399085104	78.12030657042536	False	not established: contrasting initial conditions not tested
p01-s02-c0022	TV	100	20	True	True	0.48336291069233217	0.48336291069233217	0.05	1.108249296085524	175.32891336998782	False	not established: contrasting initial conditions not tested
p01-s02-c0022	D0	120	20	True	True	2.9698419350359553e-15	2.9698419350359553e-15	5.0	1.0	720.0	True	not established: contrasting initial conditions not tested
p01-s02-c0022	D1	120	20	False	False	2.2880828557005866	2.2880828557005866	1.4865280438894914	1.3633067817933526	77.92893444139156	False	not established: contrasting initial conditions not tested
