source_run_id	source_cell_id	seed_block_id	scratch_relative_path	state_marker	first_passage	last_passage	passages	raw_strain_richness_g100	ancestral_lineage_richness_g100	retained_mutant_strains_g100	configuration_sha256
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	sb0001	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0001	completion.json	0	100	101	100	100	0	8cc5769cfc845af022470cb96941e285de622468a969b21058814b2c914332f5
p01-s02-c0021-v210-m010-g250-sb0002	p01-s02-c0021	sb0002	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0002	completion.json	0	100	101	100	100	0	812d9e41368bf4ff7b835bcd0c17bc43fa44d5c3f7ad58958da0377b76fd9c67
p01-s02-c0021-v210-m010-g250-sb0003	p01-s02-c0021	sb0003	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0003	completion.json	0	100	101	100	100	0	48e2b46dd729f2f52751880b2e242378f7db3e7e9ec2e456b4b881a11c1e8918
p01-s02-c0021-v210-m010-g250-sb0004	p01-s02-c0021	sb0004	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0004	completion.json	0	100	101	100	100	0	597656def0524f99a7707045850ec8a34c4f8603732d14dfd5a60838c9086e03
p01-s02-c0021-v210-m010-g250-sb0005	p01-s02-c0021	sb0005	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0005	completion.json	0	100	101	100	100	0	903e74876855d75ff33d84097005cf31ca001c1abc433d43338cb743800f99f8
p01-s02-c0021-v210-m010-g250-sb0006	p01-s02-c0021	sb0006	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0006	completion.json	0	100	101	100	100	0	1b965b224d7d1b21e41b05df5acba92003cf57067a01e2930b274080e04abc84
p01-s02-c0021-v210-m010-g250-sb0007	p01-s02-c0021	sb0007	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0007	completion.json	0	100	101	100	100	0	615203b458136aae7118af61b8fc12401340b461e3fa3c3187327caa730a38c8
p01-s02-c0021-v210-m010-g250-sb0008	p01-s02-c0021	sb0008	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0008	completion.json	0	100	101	100	100	0	fd143a86bf1948e00d76d1c230743ce611dafbf95d4996beb7eb5aa34c8dde2e
p01-s02-c0021-v210-m010-g250-sb0009	p01-s02-c0021	sb0009	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0009	completion.json	0	100	101	100	100	0	7d95d7d668a2f68a837fffb61ed72abdd1e962870135f0baefd4cf28287a834c
p01-s02-c0021-v210-m010-g250-sb0010	p01-s02-c0021	sb0010	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0010	completion.json	0	100	101	100	100	0	eb90c6d36d0b345907bf88c9a5d55f784ea1e6943f286e526d4d5621aeb5d6de
p01-s02-c0021-v210-m010-g250-sb0011	p01-s02-c0021	sb0011	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0011	completion.json	0	100	101	100	100	0	66df4057c9f1c660ebea8d72bacf979e5c83338c482c7d969b51403bcab51d67
p01-s02-c0021-v210-m010-g250-sb0012	p01-s02-c0021	sb0012	p01-neutral-feedback/s02-equilibrium-precision-v210-m010-g250/p01-s02-c0021/sb0012	completion.json	0	100	101	100	100	0	060bb5e84e704ea7f441a5e93167c9ce3274907abb7e5ff0cd27c78a565160c8
p01-s03-c0027-v210-m010-g100-sb0001	p01-s03-c0027	sb0001	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0001	completion.json	0	100	101	100	100	0	1c705c3baf797f72c605b50f9051dd354ea1201f234d786fa9f692e1476ded3e
p01-s03-c0027-v210-m010-g100-sb0002	p01-s03-c0027	sb0002	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0002	completion.json	0	100	101	100	100	0	d30311766cf347aac9cd63251095e766f57b866358872602463305aadd328d88
p01-s03-c0027-v210-m010-g100-sb0003	p01-s03-c0027	sb0003	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0003	completion.json	0	100	101	100	100	0	133a84bf32a1b22f42b4ed62a9ab5ebff5cca774216be7b0857612f4a958a8aa
p01-s03-c0027-v210-m010-g100-sb0004	p01-s03-c0027	sb0004	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0004	completion.json	0	100	101	100	100	0	e6ba7a21595c19a581b9d353edd1bf9800106fb73cdc10f980a91bfb9264beae
p01-s03-c0027-v210-m010-g100-sb0005	p01-s03-c0027	sb0005	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0005	completion.json	0	100	101	100	100	0	1fbf7ef1b2208cf73924e1c90cc0df2aaa110e44166a5bb4c9550f2fd4ab5b38
p01-s03-c0027-v210-m010-g100-sb0006	p01-s03-c0027	sb0006	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0006	completion.json	0	100	101	100	100	0	c9913b6222e6b32d25dbe888d237ed8c5e632399254bf329735dadd5f4b05d36
p01-s03-c0027-v210-m010-g100-sb0007	p01-s03-c0027	sb0007	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0007	completion.json	0	100	101	100	100	0	755e8e041a682f08f88bd881feb737c51275d876ae5e8662bbe497216b20d32e
p01-s03-c0027-v210-m010-g100-sb0008	p01-s03-c0027	sb0008	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0008	completion.json	0	100	101	100	100	0	553c4eb9fce1fd945f89f32bf4599f14bc629fcd39172d2c158f7f6899b239f9
p01-s03-c0027-v210-m010-g100-sb0009	p01-s03-c0027	sb0009	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0009	completion.json	0	100	101	100	100	0	a4762bec3430d2401eba9c2cba1af2e944e00de8b6d1e128552eab1b2f993c0a
p01-s03-c0027-v210-m010-g100-sb0010	p01-s03-c0027	sb0010	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0010	completion.json	0	100	101	100	100	0	b783ab41fecc3873f02070d702839266f533d86883927357deab9271dd806c07
p01-s03-c0027-v210-m010-g100-sb0011	p01-s03-c0027	sb0011	p01-neutral-feedback/s03-parameter-map-wave1-v210-m010-g100/p01-s03-c0027/sb0011	completion.json	0	100	101	100	100	0	dbe4def9b1cd8772f730779d589926ccab2a5e1fc68c340efdca5c9fba01acdd
