sample_id	analysis_set	panel	analysis_role	include_primary_dbrda	cell_id	cell	seed_block_id	master_seed	source_role	source_cell_id	source_run_id	source_alias_count	passage	H	B	HB	log10_H	log10_B	log10_HB	f	e	R	alpha	alpha_target	m	u	mutation_enabled	host_return_enabled	immediate_host_signal
wave1_h_alpha_u__c0021__sb0001__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0001	666	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0001	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0002__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0002	667	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0002	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0003__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0003	668	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0003	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0004__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0004	669	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0004	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0005__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0005	670	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0005	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0006__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0006	671	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0006	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0007__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0007	672	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0007	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0008__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0008	673	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0008	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0009__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0009	674	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0009	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0010__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0010	675	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0010	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0011__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0011	676	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0011	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0021__sb0012__g100	wave1_h_alpha_u	H-by-alpha-by-u	paired-no-return-control	false	p01-s02-c0021	c0021	sb0012	677	reused-stage2-no-return-control	p01-s02-c0021	p01-s02-c0021-v210-m010-g250-sb0012	2	100	100	10	1000	2	1	3	0	0	0	0	0	0.1	0	false	false	0
wave1_h_alpha_u__c0027__sb0001__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0001	666	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0001	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0002__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0002	667	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0002	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0003__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0003	668	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0003	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0004__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0004	669	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0004	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0005__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0005	670	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0005	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0006__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0006	671	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0006	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0007__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0007	672	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0007	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0008__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0008	673	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0008	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
wave1_h_alpha_u__c0027__sb0009__g100	wave1_h_alpha_u	H-by-alpha-by-u	factorial-treatment	true	p01-s03-c0027	c0027	sb0009	674	wave1-simulation	p01-s03-c0027	p01-s03-c0027-v210-m010-g100-sb0009	1	100	100	10	1000	2	1	3	1e-05	10000	1000000	0.000999000999001	0.001	0.1	0	false	true	0.0008991008991009
