sample_id	ancestral_000	ancestral_001	ancestral_002	ancestral_003	ancestral_004	ancestral_005	ancestral_006	ancestral_007	ancestral_008	ancestral_009	ancestral_010	ancestral_011	ancestral_012	ancestral_013	ancestral_014	ancestral_015	ancestral_016	ancestral_017	ancestral_018	ancestral_019	ancestral_020	ancestral_021	ancestral_022	ancestral_023	ancestral_024	ancestral_025	ancestral_026	ancestral_027	ancestral_028	ancestral_029	ancestral_030	ancestral_031	ancestral_032	ancestral_033	ancestral_034	ancestral_035	ancestral_036	ancestral_037	ancestral_038	ancestral_039	ancestral_040	ancestral_041	ancestral_042	ancestral_043	ancestral_044	ancestral_045	ancestral_046	ancestral_047	ancestral_048	ancestral_049	ancestral_050	ancestral_051	ancestral_052	ancestral_053	ancestral_054	ancestral_055	ancestral_056	ancestral_057	ancestral_058	ancestral_059	ancestral_060	ancestral_061	ancestral_062	ancestral_063	ancestral_064	ancestral_065	ancestral_066	ancestral_067	ancestral_068	ancestral_069	ancestral_070	ancestral_071	ancestral_072	ancestral_073	ancestral_074	ancestral_075	ancestral_076	ancestral_077	ancestral_078	ancestral_079	ancestral_080	ancestral_081	ancestral_082	ancestral_083	ancestral_084	ancestral_085	ancestral_086	ancestral_087	ancestral_088	ancestral_089	ancestral_090	ancestral_091	ancestral_092	ancestral_093	ancestral_094	ancestral_095	ancestral_096	ancestral_097	ancestral_098	ancestral_099
wave1_h_alpha_u__c0021__sb0001__g100	0.009002325	0.0053433	0.000281229	0.000280993	0.009292518	0.023364983	0.018858931	0.020831797	0.001972339	0.002251233	0.049527171	0.000845042	0.004784601	0.000844414	0.000843503	0.001127811	0.001126014	0.012664795	0.00028179	0.000282341	0.009287208	0.042498652	0.001972121	0.019414298	0.000562118	0.000282154	0.002252371	0.002251825	0.000844375	0.000843175	0.051789955	0.003375368	0.003660067	0.003659475	0.000843441	0.002815547	0.006471262	0.000563101	0.010701206	0.000280923	0.000281497	0.001126027	0.000281178	0.043621019	0.001124706	0.000280268	0.000281779	0.000281212	0.005068352	0.000562541	0.086403564	0.000281049	0.001127378	0.001969693	0.000280853	0.065295426	0.000562598	0.006473293	0.010974067	0.043352177	0.000281272	0.000562596	0.003660532	0.001407333	0.064450925	0.000563485	0.006751507	0.009571649	0.00253029	0.000845546	0.034605192	0.007598404	0.002816441	0.003096307	0.000281297	0.000281676	0.000282002	0.000563595	0.001968455	0.016323927	0.093449233	0.002254022	0.000562946	0.000844195	0.013228095	0.007040115	0.003940023	0.005069228	0.068677691	0.000563256	0.001124353	0.007881783	0.006193348	0.003096329	0.005910438	0.004218164	0.003660566	0.000845681	0.014631548	0.000562106
wave1_h_alpha_u__c0021__sb0002__g100	0.009005335	0.005345176	0.000282117	0.000280659	0.009285796	0.023357837	0.018859846	0.020822259	0.001969688	0.002249363	0.049541442	0.000843285	0.00478552	0.000844141	0.000844289	0.001124963	0.001125283	0.012664495	0.000281765	0.00028114	0.009288854	0.0424946	0.001970011	0.019416047	0.000562052	0.000281261	0.002253428	0.002250462	0.000846002	0.0008452	0.051785784	0.003378832	0.00365943	0.00365655	0.000844059	0.002812674	0.006473753	0.000562635	0.010698546	0.000281682	0.000281353	0.001126456	0.000281562	0.043626284	0.001126058	0.000281052	0.00028216	0.000281349	0.00506727	0.000564446	0.086395774	0.000280361	0.001126308	0.001968091	0.000281741	0.065311448	0.000564026	0.006473495	0.010971249	0.043344175	0.000280991	0.000562691	0.003659019	0.001408343	0.064457851	0.000563477	0.006754091	0.009573898	0.002537397	0.00084184	0.034620372	0.00759861	0.002813122	0.003096207	0.00028169	0.000281678	0.000281283	0.00056315	0.001969119	0.016320164	0.093453387	0.002250107	0.000564402	0.000843277	0.01322599	0.007039903	0.003938656	0.005069196	0.068665419	0.00056391	0.001125083	0.007885312	0.00619197	0.003099546	0.005911931	0.004220486	0.003659455	0.000842351	0.014631133	0.000562574
wave1_h_alpha_u__c0021__sb0003__g100	0.009007636	0.005348375	0.000280987	0.000281287	0.009288437	0.023350215	0.018856049	0.020832645	0.001970827	0.002248953	0.049527429	0.00084457	0.004781338	0.000843798	0.00084283	0.001125859	0.00112708	0.012659846	0.000280855	0.000281331	0.009289369	0.042495442	0.001970424	0.019420939	0.000562948	0.000281716	0.002250935	0.002250749	0.000844785	0.000842949	0.05178789	0.003378556	0.003657438	0.003658106	0.000844639	0.002815778	0.006472126	0.000564123	0.010692192	0.000281579	0.000282169	0.001124616	0.000282474	0.043628379	0.001127278	0.000282044	0.000282006	0.000281074	0.005064203	0.000562991	0.086408866	0.000281787	0.001126671	0.001970468	0.000282011	0.065304858	0.000563578	0.006474436	0.010972162	0.043340186	0.000281367	0.000562414	0.003655765	0.001406951	0.064458693	0.000564606	0.006752975	0.009565999	0.002533341	0.000844049	0.034619053	0.007601949	0.00281484	0.003094751	0.000281996	0.000282171	0.000281737	0.000562358	0.001969477	0.016324234	0.093451786	0.002253521	0.000563061	0.000846035	0.01323055	0.007036333	0.003939471	0.005069774	0.068664082	0.000564518	0.001125009	0.007883562	0.006191788	0.003093809	0.005912918	0.004223122	0.003661639	0.000845007	0.014635651	0.000564351
wave1_h_alpha_u__c0021__sb0004__g100	0.009008235	0.005345611	0.000280939	0.000281551	0.009292304	0.023359039	0.018857099	0.020827124	0.001970772	0.002252871	0.049527898	0.000844518	0.004783255	0.000845079	0.000842919	0.001125561	0.001128128	0.012665332	0.000281058	0.000281463	0.009288517	0.042501705	0.001970003	0.019421841	0.000562406	0.000281455	0.002252066	0.002252581	0.000845305	0.000844165	0.051800212	0.003377483	0.003660284	0.003658988	0.000845943	0.002812206	0.006478428	0.000561813	0.01070078	0.000281244	0.00028209	0.001124832	0.00028194	0.043625289	0.001125545	0.000281672	0.000281191	0.000280767	0.005064272	0.000563987	0.086389123	0.000281317	0.001127021	0.001971014	0.000281225	0.065274882	0.000562267	0.006478454	0.010985221	0.04334288	0.000281201	0.000563186	0.003660116	0.001405872	0.064450693	0.000563089	0.006753475	0.009563173	0.002532586	0.000844273	0.03462623	0.007603015	0.002817473	0.003095484	0.000281059	0.00028118	0.000281128	0.000561932	0.001968906	0.016323555	0.093445657	0.002251436	0.000562998	0.000845585	0.013230563	0.007037808	0.003939712	0.005063773	0.068671195	0.000562362	0.001125964	0.007878156	0.006192612	0.003097418	0.005911236	0.004224056	0.003658189	0.000844225	0.01463405	0.000562209
wave1_h_alpha_u__c0021__sb0005__g100	0.009008096	0.005347436	0.000281773	0.000281723	0.009287332	0.023366117	0.018860913	0.020828374	0.001971448	0.002249582	0.049539516	0.000844743	0.004783554	0.000844435	0.000843419	0.001126737	0.00112512	0.012660654	0.000281449	0.000281899	0.009286909	0.042510122	0.001970718	0.019422067	0.000561572	0.000281902	0.002250374	0.002250301	0.000844309	0.000846217	0.051787875	0.003381749	0.00365791	0.003659044	0.000844102	0.002815679	0.006479143	0.00056067	0.010698934	0.000282105	0.000281238	0.001125574	0.000281837	0.043618665	0.001125582	0.000281617	0.000281678	0.000280776	0.005070599	0.000561178	0.086408379	0.00028061	0.001127138	0.001970753	0.00028201	0.065294577	0.000561701	0.006472555	0.010974907	0.043342694	0.00028126	0.000562174	0.003659135	0.001406518	0.064437297	0.000563522	0.00675295	0.009565222	0.002532945	0.000844123	0.034617474	0.007600421	0.002814976	0.003098203	0.000280976	0.000281255	0.000282094	0.000561658	0.001969188	0.016325636	0.093445865	0.002250587	0.000564598	0.000844375	0.013222288	0.007039108	0.003943701	0.005065986	0.068671813	0.000563891	0.001126355	0.007876534	0.006191492	0.003094071	0.00590949	0.004221115	0.003659361	0.000844611	0.014634559	0.000563083
wave1_h_alpha_u__c0021__sb0006__g100	0.009000486	0.005346937	0.000281223	0.000280839	0.009294695	0.023361372	0.01886257	0.020824114	0.001968009	0.002251139	0.049539657	0.000844985	0.004786611	0.000844308	0.000845313	0.001126641	0.001125376	0.012666978	0.000281249	0.000281524	0.009289021	0.042504544	0.001970463	0.019413893	0.000563026	0.000281457	0.002250683	0.002250808	0.000844471	0.000845202	0.051786809	0.003377558	0.003655323	0.003660775	0.000844804	0.002816923	0.006472969	0.000563009	0.010701148	0.000281006	0.000281294	0.001127102	0.000282742	0.043614808	0.00112524	0.000281433	0.000281194	0.000281417	0.005062224	0.000563269	0.086400154	0.00028155	0.001126555	0.001971918	0.000281889	0.065301543	0.000562376	0.006476609	0.010978231	0.0433449	0.000281533	0.0005625	0.003658448	0.001407412	0.064448332	0.00056287	0.006753137	0.009572896	0.002532357	0.000844468	0.034618229	0.00759711	0.002812841	0.003099964	0.000281989	0.000281494	0.000281464	0.000563627	0.001971376	0.016324938	0.093423589	0.002251536	0.000563539	0.00084257	0.013229937	0.007034924	0.003940822	0.005065925	0.068677035	0.000563507	0.001125361	0.007875626	0.00619514	0.003097392	0.005913086	0.004222077	0.003657575	0.000846577	0.014639611	0.00056282
wave1_h_alpha_u__c0021__sb0007__g100	0.009006322	0.00535052	0.000280939	0.000282236	0.00928924	0.023356481	0.018857647	0.020822155	0.00196995	0.002249291	0.049543408	0.00084595	0.004783858	0.000843512	0.000845271	0.00112636	0.001125295	0.01266189	0.000281389	0.000280118	0.009285924	0.042501546	0.001968283	0.019417565	0.000562838	0.000281802	0.002248999	0.002250775	0.000842905	0.000845315	0.051778807	0.003379622	0.003657052	0.003656908	0.000845305	0.002815234	0.00647607	0.000564697	0.010697776	0.000281273	0.000280866	0.001124478	0.000281764	0.043621929	0.001126254	0.000282194	0.000280817	0.00028202	0.005068398	0.000562632	0.08640662	0.00028108	0.001123787	0.001968797	0.000281446	0.065295458	0.000563132	0.006473045	0.010981923	0.04334872	0.000282098	0.000562726	0.003658541	0.001406878	0.064454826	0.000562225	0.006753785	0.0095748	0.002531278	0.000842135	0.034624609	0.007598314	0.002815194	0.00309568	0.000282973	0.000280944	0.0002812	0.000561676	0.001969815	0.0163243	0.093458352	0.002251619	0.000562898	0.000844025	0.013224563	0.007034904	0.003939885	0.005066905	0.068666495	0.000563307	0.00112593	0.007877683	0.00619561	0.003095579	0.005910816	0.004222187	0.003658814	0.000844537	0.014633227	0.000562779
wave1_h_alpha_u__c0021__sb0008__g100	0.009004623	0.005348155	0.000280878	0.000281833	0.009289634	0.023357573	0.018856135	0.020828189	0.001971553	0.002249857	0.049520678	0.000843763	0.00478163	0.000844189	0.000844621	0.001126307	0.001124868	0.012669572	0.000281211	0.000281943	0.00928792	0.042494419	0.001972722	0.019422846	0.000564672	0.00028186	0.002253955	0.002251521	0.000844505	0.000843718	0.051789247	0.003375145	0.003660433	0.003656757	0.00084293	0.002814651	0.006468169	0.000562671	0.010701385	0.000282242	0.000280573	0.001125874	0.00028171	0.043630135	0.001125142	0.000280577	0.000281568	0.000281163	0.005062608	0.000562589	0.086412678	0.000281003	0.001124817	0.00197158	0.000282009	0.065289721	0.000563108	0.00647557	0.01098276	0.043348382	0.000280936	0.000561002	0.003657539	0.001406915	0.064462856	0.000564083	0.006751541	0.009564848	0.002535596	0.000843992	0.034619688	0.007598395	0.002815544	0.003095327	0.000281135	0.000280973	0.00028201	0.000563826	0.001971104	0.016326947	0.093442954	0.002251953	0.000561846	0.000843741	0.013231164	0.007034776	0.00394046	0.005065298	0.068679102	0.000563303	0.001126188	0.007878235	0.006194899	0.003094063	0.005910508	0.004222232	0.003657399	0.00084177	0.014631666	0.000561639
wave1_h_alpha_u__c0021__sb0009__g100	0.009008949	0.005342645	0.000281375	0.000282288	0.009288458	0.023362407	0.018859323	0.020826363	0.001970871	0.002250858	0.049549243	0.000844054	0.004782756	0.000844748	0.000842936	0.001125752	0.001127044	0.012666303	0.000280842	0.000282022	0.009291194	0.042504426	0.00197072	0.01941611	0.000562672	0.000281366	0.002247865	0.002251716	0.000844078	0.000844217	0.051770459	0.003377924	0.00365597	0.00365728	0.000843995	0.002815351	0.006470981	0.000563594	0.010696805	0.000281065	0.000281333	0.001124893	0.000281615	0.043619068	0.001126577	0.000280861	0.000281672	0.000281019	0.005070502	0.000563043	0.086415868	0.000282173	0.001127107	0.001968485	0.000281248	0.065291239	0.000563528	0.006474046	0.01097337	0.04333566	0.000281565	0.00056401	0.00366144	0.00140797	0.064458574	0.000562844	0.006753369	0.009562107	0.002533163	0.000843521	0.034617192	0.00759769	0.002813255	0.003098286	0.000282562	0.000282339	0.00028073	0.000563778	0.001970212	0.016332849	0.093453574	0.002252648	0.000561631	0.000845004	0.013225428	0.007036827	0.003938819	0.005066129	0.068685349	0.000563415	0.001124708	0.007874586	0.006194634	0.003096279	0.00590739	0.00422072	0.003657454	0.000844611	0.014629478	0.000563528
wave1_h_alpha_u__c0021__sb0010__g100	0.009003467	0.005343734	0.000280822	0.000281268	0.009288291	0.023367165	0.018859334	0.020823079	0.00197132	0.002253901	0.0495462	0.000846051	0.004781633	0.000844815	0.000844633	0.001126035	0.001123234	0.012666443	0.000281675	0.000281262	0.009289945	0.042502703	0.001968394	0.019413967	0.000563189	0.000281121	0.002252619	0.00225307	0.000845482	0.000843906	0.05178165	0.003373892	0.003657068	0.00365952	0.000843549	0.002813879	0.006472534	0.000563634	0.010696878	0.000281471	0.000280821	0.00112435	0.00028106	0.04363369	0.001125729	0.000281454	0.000281279	0.000281488	0.00506749	0.000562314	0.086417791	0.000282045	0.001126731	0.001971976	0.000282504	0.065309172	0.000562725	0.006477737	0.010974725	0.043337324	0.000281124	0.000563071	0.003658901	0.00140973	0.064444452	0.000563923	0.006753368	0.009571706	0.002534693	0.000843758	0.034617624	0.007602528	0.002813625	0.003095922	0.000282264	0.000282347	0.000280753	0.000564873	0.001971623	0.016320206	0.093430593	0.002252981	0.000563015	0.00084553	0.013229696	0.007033657	0.003939159	0.005062203	0.068662474	0.000563144	0.001127799	0.007881666	0.006193762	0.003096482	0.00591004	0.004220375	0.003656938	0.000843035	0.01463181	0.000563912
