cell_id	cell	n	mean	ci90_low	ci90_high	margin	review_longer_runs	scope
p01-s03-c0027	c0027	12	6.032833333335207e-06	-1.4562469442505655e-05	2.662813610917607e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0028	c0028	12	5.00985000000124e-06	-8.6220679260903e-06	1.8641767926092778e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0029	c0029	12	4.71525333333351e-05	-0.00014842191863361954	0.00024272698530028976	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0030	c0030	12	8.015782000000121e-05	-6.821323422565179e-05	0.0002285288742256542	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0031	c0031	12	0.0006750751733333333	-0.0010858989926566791	0.002436049339323346	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0032	c0032	12	0.0008929444600000001	-0.0005020249316591462	0.0022879138516591463	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0033	c0033	12	-0.00034388650999998827	-0.011642613297849836	0.01095484027784986	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0034	c0034	12	0.005622441820000028	-0.005229202259093293	0.016474085899093348	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0035	c0035	12	4.751633333360194e-07	-5.084654022235883e-06	6.034980688907922e-06	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0036	c0036	12	-1.7548099999991752e-06	-7.749348394142181e-06	4.239728394143831e-06	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0037	c0037	12	3.404745000000367e-05	-2.3070612978638017e-05	9.116551297864536e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0038	c0038	12	-3.4639900000002087e-06	-5.876212766833769e-05	5.1834147668337274e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0039	c0039	12	0.00023268275666666897	-0.0002918312899079763	0.0007571968032413143	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0040	c0040	12	9.09106300000007e-05	-0.000536922097857409	0.0007187433578574104	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0041	c0041	12	0.0005429940366666655	-0.006080402187782011	0.007166390261115341	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0042	c0042	12	0.0046516591833333405	-0.0005903092200694928	0.009893627586736174	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0043	c0043	12	-2.9802666666636085e-06	-6.048431330226849e-06	8.789799689963282e-08	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0044	c0044	12	-2.7524699999977786e-06	-5.047238449299611e-06	-4.5770155069594534e-07	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0045	c0045	12	5.549986666670492e-06	-9.492993874479457e-07	1.204927272078893e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0046	c0046	12	9.57088666666897e-06	-2.1249996699311903e-06	2.126677300326913e-05	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0047	c0047	12	5.3286243333335514e-05	-3.2681615714283264e-05	0.0001392541023809543	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0048	c0048	12	5.311364666666773e-05	-5.9379822521159976e-05	0.00016560711585449545	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0049	c0049	12	0.0005308266700000021	-0.000519344293155141	0.0015809976331551453	0.05	False	Exploratory mean-drift check; not proof of stationarity
p01-s03-c0050	c0050	12	0.0017817495566666657	0.00027055269630482486	0.0032929464170285065	0.05	False	Exploratory mean-drift check; not proof of stationarity
