contrast	treatment	reference	response	n_pairs	scale	mean	ci90_low	ci90_high	margin	status
pooling-H1000-vs-100-a0.001-u0	p01-s03-c0035	p01-s03-c0027	D0	12	relative change	0.0	0.0	0.0	0.05	equivalent
pooling-H1000-vs-100-a0.001-u0	p01-s03-c0035	p01-s03-c0027	D1	12	relative change	3.536974483518233e-05	-4.444054004331445e-05	0.0001151800297136791	0.05	equivalent
pooling-H1000-vs-100-a0.001-u0	p01-s03-c0035	p01-s03-c0027	D2	12	relative change	3.947173596000978e-05	-4.660331418071693e-05	0.0001255467861007365	0.05	equivalent
pooling-H1000-vs-100-a0.001-u0	p01-s03-c0035	p01-s03-c0027	evenness	12	absolute difference	7.677947953014611e-06	-9.652937191669726e-06	2.500883309769895e-05	0.02	equivalent
pooling-H1000-vs-100-a0.001-u0	p01-s03-c0035	p01-s03-c0027	TV	12	absolute difference	-0.0002608983333333293	-0.00029328000092766933	-0.00022851666573898925	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u0	p01-s03-c0043	p01-s03-c0035	D0	12	relative change	0.0	0.0	0.0	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u0	p01-s03-c0043	p01-s03-c0035	D1	12	relative change	2.2980138039604045e-06	-2.3624699312208397e-05	2.8220726920129204e-05	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u0	p01-s03-c0043	p01-s03-c0035	D2	12	relative change	-1.8786503381366486e-06	-3.7117571959598685e-05	3.336027128332539e-05	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u0	p01-s03-c0043	p01-s03-c0035	evenness	12	absolute difference	4.987579424279668e-07	-5.130310717847628e-06	6.127826602703562e-06	0.02	equivalent
pooling-H10000-vs-1000-a0.001-u0	p01-s03-c0043	p01-s03-c0035	TV	12	absolute difference	-5.9401500000001095e-05	-6.926295274965197e-05	-4.9540047250350215e-05	0.05	equivalent
pooling-H1000-vs-100-a0.001-u1e-10	p01-s03-c0036	p01-s03-c0028	D0	12	relative change	-0.001609396233741021	-0.005883119950395718	0.0026643274829136754	0.05	equivalent
pooling-H1000-vs-100-a0.001-u1e-10	p01-s03-c0036	p01-s03-c0028	D1	12	relative change	1.1437752373342583e-05	-6.462249776716834e-05	8.749800251385351e-05	0.05	equivalent
pooling-H1000-vs-100-a0.001-u1e-10	p01-s03-c0036	p01-s03-c0028	D2	12	relative change	-2.952017762096008e-05	-0.00011384741326251164	5.480705802059147e-05	0.05	equivalent
pooling-H1000-vs-100-a0.001-u1e-10	p01-s03-c0036	p01-s03-c0028	evenness	12	absolute difference	0.000274308616089014	-0.0004284375649657925	0.0009770547971438206	0.02	equivalent
pooling-H1000-vs-100-a0.001-u1e-10	p01-s03-c0036	p01-s03-c0028	TV	12	absolute difference	-0.00024504074999999866	-0.0002673022499194446	-0.00022277925008055272	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u1e-10	p01-s03-c0044	p01-s03-c0036	D0	12	relative change	1.6501650165016517e-05	-0.0030942818045645868	0.0031272851048946195	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u1e-10	p01-s03-c0044	p01-s03-c0036	D1	12	relative change	1.2885903080683825e-06	-2.0387893984488772e-05	2.2965074600625537e-05	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u1e-10	p01-s03-c0044	p01-s03-c0036	D2	12	relative change	6.821595956626089e-07	-3.17938336970149e-05	3.315815288834012e-05	0.05	equivalent
pooling-H10000-vs-1000-a0.001-u1e-10	p01-s03-c0044	p01-s03-c0036	evenness	12	absolute difference	2.7848923861428787e-07	-0.0005186968516602888	0.0005192538301375173	0.02	equivalent
pooling-H10000-vs-1000-a0.001-u1e-10	p01-s03-c0044	p01-s03-c0036	TV	12	absolute difference	-5.583816666666045e-05	-6.617977665630617e-05	-4.549655667701473e-05	0.05	equivalent
pooling-H1000-vs-100-a0.01-u0	p01-s03-c0037	p01-s03-c0029	D0	12	relative change	0.0	0.0	0.0	0.05	equivalent
pooling-H1000-vs-100-a0.01-u0	p01-s03-c0037	p01-s03-c0029	D1	12	relative change	0.00036693514176124503	-0.0005658258559739903	0.0012996961394964805	0.05	equivalent
pooling-H1000-vs-100-a0.01-u0	p01-s03-c0037	p01-s03-c0029	D2	12	relative change	0.0004636436368725405	-0.0005119102142472468	0.0014391974879923277	0.05	equivalent
pooling-H1000-vs-100-a0.01-u0	p01-s03-c0037	p01-s03-c0029	evenness	12	absolute difference	7.934221758653288e-05	-0.00012321291696591497	0.0002818973521389807	0.02	equivalent
pooling-H1000-vs-100-a0.01-u0	p01-s03-c0037	p01-s03-c0029	TV	12	absolute difference	-0.0027658561666666606	-0.0030521460357605603	-0.002479566297572761	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u0	p01-s03-c0045	p01-s03-c0037	D0	12	relative change	0.0	0.0	0.0	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u0	p01-s03-c0045	p01-s03-c0037	D1	12	relative change	9.654685769661109e-06	-0.0002328853333299993	0.0002521947048693215	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u0	p01-s03-c0045	p01-s03-c0037	D2	12	relative change	4.281292937076871e-06	-0.0003022053860104054	0.0003107679718845591	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u0	p01-s03-c0045	p01-s03-c0037	evenness	12	absolute difference	2.0746948816337727e-06	-5.059230175085686e-05	5.474169151412441e-05	0.02	equivalent
pooling-H10000-vs-1000-a0.01-u0	p01-s03-c0045	p01-s03-c0037	TV	12	absolute difference	-0.0009354430000000014	-0.0010254078762155674	-0.0008454781237844353	0.05	equivalent
pooling-H1000-vs-100-a0.01-u1e-10	p01-s03-c0038	p01-s03-c0030	D0	12	relative change	-0.00421629544034403	-0.018316738286166555	0.009884147405478497	0.05	equivalent
pooling-H1000-vs-100-a0.01-u1e-10	p01-s03-c0038	p01-s03-c0030	D1	12	relative change	0.00017541498234865024	-0.0005785494468651228	0.0009293794115624234	0.05	equivalent
pooling-H1000-vs-100-a0.01-u1e-10	p01-s03-c0038	p01-s03-c0030	D2	12	relative change	-0.00033356921190180744	-0.0010590906293506301	0.0003919522055470154	0.05	equivalent
pooling-H1000-vs-100-a0.01-u1e-10	p01-s03-c0038	p01-s03-c0030	evenness	12	absolute difference	0.0007699411513677571	-0.0015513277021493906	0.0030912100048849046	0.02	equivalent
pooling-H1000-vs-100-a0.01-u1e-10	p01-s03-c0038	p01-s03-c0030	TV	12	absolute difference	-0.002677186833333327	-0.002877911275185055	-0.0024764623914815993	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u1e-10	p01-s03-c0046	p01-s03-c0038	D0	12	relative change	0.00734739926919889	-0.002950395220074198	0.017645193758471976	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u1e-10	p01-s03-c0046	p01-s03-c0038	D1	12	relative change	4.414597541823236e-05	-0.00015723235359851168	0.0002455243044349764	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u1e-10	p01-s03-c0046	p01-s03-c0038	D2	12	relative change	3.972755111750215e-05	-0.0002821024517693579	0.00036155755400436217	0.05	equivalent
pooling-H10000-vs-1000-a0.01-u1e-10	p01-s03-c0046	p01-s03-c0038	evenness	12	absolute difference	-0.0011551782630694434	-0.0028434519588102763	0.0005330954326713897	0.02	equivalent
pooling-H10000-vs-1000-a0.01-u1e-10	p01-s03-c0046	p01-s03-c0038	TV	12	absolute difference	-0.0008475062499999992	-0.000932991536608483	-0.0007620209633915153	0.05	equivalent
