run_id	cell_id	cell	seed_block_id	generation	D0	shannon	simpson	D1	D2	evenness	TV	turnover	root_D0	root_D1	root_D2	mutant_richness	mutant_abundance_fraction
p01-s03-c0027-v210-m010-g100-sb0001	p01-s03-c0027	c0027	sb0001	100	100	3.5328516157719267	0.9549632532838884	34.22141493412729	22.204090501995697	0.7671489810563674	0.0004596910000000114	0.00020026099999999385	100	34.22141493412729	22.204090501995697	0	0.0
p01-s03-c0027-v210-m010-g100-sb0002	p01-s03-c0027	c0027	sb0002	100	100	3.5328682861217335	0.9549586566385859	34.22198542184022	22.201824487692328	0.7671526009768337	0.0003554859999999903	0.00014856799999999972	100	34.22198542184022	22.201824487692328	0	0.0
p01-s03-c0027-v210-m010-g100-sb0003	p01-s03-c0027	c0027	sb0003	100	100	3.5331303193016583	0.9549662577360989	34.23095389247077	22.205571860759967	0.7672095007588922	0.0004690159999999971	0.00022147399999999977	100	34.23095389247077	22.205571860759967	0	0.0
p01-s03-c0027-v210-m010-g100-sb0004	p01-s03-c0027	c0027	sb0004	100	100	3.533354606801817	0.9549838203991265	34.23863232860379	22.214235167583983	0.7672582041707315	0.0003911090000000032	0.00016734499999999716	100	34.23863232860379	22.214235167583983	0	0.0
p01-s03-c0027-v210-m010-g100-sb0005	p01-s03-c0027	c0027	sb0005	100	100	3.5329950203674008	0.9549684274600743	34.226322794188896	22.206641775909215	0.7671801209686144	0.00040734100000000746	0.00015297199999999154	100	34.226322794188896	22.206641775909215	0	0.0
p01-s03-c0027-v210-m010-g100-sb0006	p01-s03-c0027	c0027	sb0006	100	100	3.533164519676058	0.9549682616265711	34.232124623929565	22.206559997915907	0.7672169272758326	0.00039870100000000217	0.0001666150000000054	100	34.232124623929565	22.206559997915907	0	0.0
p01-s03-c0027-v210-m010-g100-sb0007	p01-s03-c0027	c0027	sb0007	100	100	3.532809541990992	0.9549610735022809	34.21997514010107	22.203015874515643	0.767139844850921	0.0003755819999999943	0.0001946579999999981	100	34.21997514010107	22.203015874515643	0	0.0
p01-s03-c0027-v210-m010-g100-sb0008	p01-s03-c0027	c0027	sb0008	100	100	3.5327757017085992	0.9549511749016031	34.21881714607239	22.198137194827428	0.7671324965269665	0.000555687999999994	0.00019539899999998676	100	34.21881714607239	22.198137194827428	0	0.0
p01-s03-c0027-v210-m010-g100-sb0009	p01-s03-c0027	c0027	sb0009	100	100	3.5329587725616216	0.9549616378966179	34.22508218757249	22.203294109687583	0.7671722498575989	0.0005048279999999947	0.00019531999999999956	100	34.22508218757249	22.203294109687583	0	0.0
p01-s03-c0027-v210-m010-g100-sb0010	p01-s03-c0027	c0027	sb0010	100	100	3.53310764513909	0.9549662169149954	34.23017774305664	22.205551732405528	0.7672045771270495	0.0003694080000000023	0.00015423899999998978	100	34.23017774305664	22.205551732405528	0	0.0
p01-s03-c0027-v210-m010-g100-sb0011	p01-s03-c0027	c0027	sb0011	100	100	3.532904709819241	0.9549569958306078	34.22323193578652	22.201005870730157	0.7671605102822526	0.0003704060000000023	0.0001847149999999898	100	34.22323193578652	22.201005870730157	0	0.0
p01-s03-c0027-v210-m010-g100-sb0012	p01-s03-c0027	c0027	sb0012	100	100	3.533167743314054	0.9549763507628654	34.23223497608505	22.210549720950194	0.7672176272799291	0.00045173699999999405	0.00014190000000000125	100	34.23223497608505	22.210549720950194	0	0.0
p01-s03-c0028-v210-m010-g100-sb0001	p01-s03-c0028	c0028	sb0001	100	100	3.5329766733570005	0.9549674211156118	34.2256948492491	22.20614552338416	0.7671761369659262	0.0004230189999999956	0.00015522600000000573	100	34.2256948492491	22.20614552338416	0	0.0
p01-s03-c0028-v210-m010-g100-sb0002	p01-s03-c0028	c0028	sb0002	100	100	3.5329179404985713	0.9549668841425871	34.22368473538933	22.205880738216557	0.7671633832877652	0.0003077729999999978	0.00018775099999999404	100	34.22368473538933	22.205880738216557	0	0.0
p01-s03-c0028-v210-m010-g100-sb0003	p01-s03-c0028	c0028	sb0003	100	100	3.5329361000152155	0.9549629109967968	34.224306226604874	22.20392174833668	0.7671673265767015	0.0004149600000000055	0.00019290700000000358	100	34.224306226604874	22.20392174833668	0	0.0
p01-s03-c0028-v210-m010-g100-sb0004	p01-s03-c0028	c0028	sb0004	100	102	3.533410765768781	0.9549798522089631	34.24055518881806	22.21227714847909	0.7639851969766817	0.00041130799999999023	0.00021042499999999933	100	34.240553905480354	22.212277048536524	2	2e-09
p01-s03-c0028-v210-m010-g100-sb0005	p01-s03-c0028	c0028	sb0005	100	100	3.53310869025169	0.9549745833302322	34.2302135174654	22.209677865600916	0.7672048040703671	0.00039769600000000445	0.00015335900000000455	100	34.2302135174654	22.209677865600916	0	0.0
p01-s03-c0028-v210-m010-g100-sb0006	p01-s03-c0028	c0028	sb0006	100	102	3.533137822816941	0.9549686431713691	34.2312107459201	22.20674815119496	0.7639261819374893	0.00039856300000000087	0.00015011000000000494	100	34.231209544940796	22.206748110412892	2	2e-09
