run_id	cell_id	cell	seed_block_id	D0_mean	D0_sd	D1_mean	D1_sd	D2_mean	D2_sd	evenness_mean	evenness_sd	TV_mean	TV_sd	TV_late_change
p01-s03-c0027-v210-m010-g100-sb0001	p01-s03-c0027	c0027	sb0001	100.0	0.0	34.223686707515895	0.0046496997325757225	22.204830857079017	0.003974403423593332	0.7671633938368199	2.9501472888698988e-05	0.00041080833999999965	4.425389639509066e-05	-1.1689080000001906e-05
p01-s03-c0027-v210-m010-g100-sb0002	p01-s03-c0027	c0027	sb0002	100.0	0.0	34.22229698546209	0.00450388169816419	22.200864062555368	0.003000712774031747	0.7671545760756686	2.85783742902288e-05	0.00039208334000000026	3.626276830704152e-05	2.0311639999999952e-05
p01-s03-c0027-v210-m010-g100-sb0003	p01-s03-c0027	c0027	sb0003	100.0	0.0	34.226308505331865	0.002744079270168096	22.205244840656714	0.002282350684312195	0.7671800296296704	1.7410020911984507e-05	0.0004014375399999967	3.361990092933824e-05	4.573284000000834e-05
p01-s03-c0027-v210-m010-g100-sb0004	p01-s03-c0027	c0027	sb0004	100.0	0.0	34.2317677308173	0.00407556126602025	22.208940926600043	0.0031307468258850294	0.7672146618486869	2.5851563260932166e-05	0.0003896182199999977	4.526306006514051e-05	-3.873267999999195e-05
p01-s03-c0027-v210-m010-g100-sb0005	p01-s03-c0027	c0027	sb0005	100.0	0.0	34.22731850360337	0.0029906578983339054	22.20332795959544	0.002511079442095466	0.7671864372943741	1.8973220113366823e-05	0.0003982598200000015	3.179983195866889e-05	-5.152439999988126e-06
p01-s03-c0027-v210-m010-g100-sb0006	p01-s03-c0027	c0027	sb0006	100.0	0.0	34.225894764702694	0.006193122717870452	22.203419163312507	0.0031621627141807944	0.7671774018554813	3.929272436595169e-05	0.0003901359199999991	3.643560501781109e-05	1.1112720000007556e-05
p01-s03-c0027-v210-m010-g100-sb0007	p01-s03-c0027	c0027	sb0007	100.0	0.0	34.224463903713705	0.003579689437116138	22.20655925292393	0.002466580557537371	0.7671683258440747	2.2712071783305867e-05	0.0004250442399999982	5.9384797104011295e-05	-7.203248000000933e-05
p01-s03-c0027-v210-m010-g100-sb0008	p01-s03-c0027	c0027	sb0008	100.0	0.0	34.2249618946692	0.0036463630260514203	22.202275375740324	0.002532531432933289	0.7671714854283551	2.313496842686659e-05	0.0004248077199999989	5.305534401867983e-05	7.576472000000051e-05
p01-s03-c0027-v210-m010-g100-sb0009	p01-s03-c0027	c0027	sb0009	100.0	0.0	34.22632889108465	0.004562810981257205	22.206039501548585	0.004343145645372043	0.7671801577591943	2.8946935407995162e-05	0.000440841699999995	3.9089169202069874e-05	3.564251999999717e-05
p01-s03-c0027-v210-m010-g100-sb0010	p01-s03-c0027	c0027	sb0010	100.0	0.0	34.22729797649177	0.004684276358459812	22.20509313521991	0.004201803614969548	0.7671863058843315	2.9717554077657846e-05	0.00039144471999999665	3.0118023299527904e-05	6.709280000006396e-06
p01-s03-c0027-v210-m010-g100-sb0011	p01-s03-c0027	c0027	sb0011	100.0	0.0	34.22652515049157	0.0045113014525483405	22.20527948051019	0.0031170890830734344	0.767181402956005	2.8621562251891735e-05	0.0003935780000000014	3.319402616835227e-05	-2.26404000000011e-05
p01-s03-c0027-v210-m010-g100-sb0012	p01-s03-c0027	c0027	sb0012	100.0	0.0	34.22751634901435	0.0060365010170843865	22.205611127797678	0.005120191723572119	0.7671876899773339	3.829913063032284e-05	0.00040596919999999926	3.2297343501675007e-05	2.7367359999994967e-05
p01-s03-c0028-v210-m010-g100-sb0001	p01-s03-c0028	c0028	sb0001	100.94	0.8900813996254409	34.228359275417844	0.0065071312371753785	22.206273728460307	0.004906262285123192	0.7656465669711799	0.0014581314110426408	0.0004000567399999991	3.6243343500209164e-05	-2.5498360000007552e-05
p01-s03-c0028-v210-m010-g100-sb0002	p01-s03-c0028	c0028	sb0002	100.16	0.3703280399090206	34.21674848536201	0.004164839289134284	22.200033968932793	0.0023440737050242078	0.7668547408169464	0.000616423159378551	0.0004090078199999949	4.680020985243968e-05	2.0924120000003713e-05
p01-s03-c0028-v210-m010-g100-sb0003	p01-s03-c0028	c0028	sb0003	101.26	1.174734012447073	34.22600230740597	0.0037318101781692783	22.20413920059309	0.00293408280384208	0.7651133514419081	0.0019098027996033494	0.00039260579999999656	2.9932846592028774e-05	-2.4041919999994625e-05
p01-s03-c0028-v210-m010-g100-sb0004	p01-s03-c0028	c0028	sb0004	100.7	0.8144110179279557	34.23304479895361	0.0049113442695757105	22.207542338285922	0.003576481465759508	0.7660699580923297	0.0013249447187334577	0.0004011502199999975	5.402667159887514e-05	5.477020000000402e-05
p01-s03-c0028-v210-m010-g100-sb0005	p01-s03-c0028	c0028	sb0005	100.86	0.9478224237370497	34.22716416261195	0.004066308673709257	22.205915348770418	0.003210877038276189	0.7657717463768996	0.0015454822039944474	0.0003864750599999981	3.065038659436807e-05	-2.3446679999988927e-05
p01-s03-c0028-v210-m010-g100-sb0006	p01-s03-c0028	c0028	sb0006	100.62	0.8053393251117373	34.22620612631309	0.004540084171370365	22.20368123223711	0.0028390617398214102	0.7661585036676919	0.0013127212443034414	0.00039543527999999847	4.068141973524262e-05	-1.9284719999998262e-05
p01-s03-c0028-v210-m010-g100-sb0007	p01-s03-c0028	c0028	sb0007	100.52	0.5046720495044484	34.22922800783053	0.0051070722246125844	22.209533481547766	0.0032321935802581097	0.7663384092654855	0.0008282853661727912	0.00042044472000000137	3.755482541404076e-05	1.2283199999996142e-05
p01-s03-c0028-v210-m010-g100-sb0008	p01-s03-c0028	c0028	sb0008	100.14	0.35050983275386566	34.22418836777205	0.003170199499870267	22.202845860016954	0.0022997367391271568	0.7669350054987107	0.0005695535302486084	0.00039395462000000117	2.8967223371119238e-05	1.671771999999552e-05
p01-s03-c0028-v210-m010-g100-sb0009	p01-s03-c0028	c0028	sb0009	100.12	0.32826072265931594	34.227389007415894	0.0024566551722198684	22.206605401896773	0.003150839311187878	0.7669883951693542	0.0005425021103219558	0.00041864808000000096	3.807784447993645e-05	-2.5679200000021016e-06
p01-s03-c0028-v210-m010-g100-sb0010	p01-s03-c0028	c0028	sb0010	100.0	0.0	34.2266124243142	0.003386938223218397	22.206130094006795	0.003072329858267826	0.7671819574631357	2.148848592099162e-05	0.0004156662800000032	3.044433372502785e-05	-6.202879999998455e-06
p01-s03-c0028-v210-m010-g100-sb0011	p01-s03-c0028	c0028	sb0011	100.8	0.6388765649999399	34.22873952463944	0.003201882396553572	22.20741109366894	0.003149227558699707	0.7658749671115277	0.001046991907842578	0.0004208941799999996	4.578648561360103e-05	3.9406680000002726e-05
p01-s03-c0028-v210-m010-g100-sb0012	p01-s03-c0028	c0028	sb0012	100.54	0.6455499158682859	34.22810409177877	0.004635332742218345	22.207930943166424	0.004270567623931418	0.7663000909081619	0.0010732555963553511	0.00039236137999999976	3.5965374981882275e-05	1.705876000000268e-05
p01-s03-c0029-v210-m010-g100-sb0001	p01-s03-c0029	c0029	sb0001	100.0	0.0	34.198366508731965	0.040560001063351926	22.19954536546805	0.03621803533071383	0.7670025315187775	0.00025755268267260267	0.003896638419999999	0.00038340794635857695	-0.00023293260000000274
p01-s03-c0029-v210-m010-g100-sb0002	p01-s03-c0029	c0029	sb0002	100.0	0.0	34.17467851048573	0.04213005915893857	22.158837196296854	0.028018477218092423	0.7668520571269849	0.00026774549537459443	0.00382982186	0.00030538385572687635	0.00024162748000000145
p01-s03-c0029-v210-m010-g100-sb0003	p01-s03-c0029	c0029	sb0003	100.0	0.0	34.21990429298354	0.03496677242747761	22.20008705234301	0.021033775016221622	0.7671392841176017	0.0002219854462873875	0.003996955299999999	0.000319538736791932	0.0004066295600000081
p01-s03-c0029-v210-m010-g100-sb0004	p01-s03-c0029	c0029	sb0004	100.0	0.0	34.25007734833567	0.04638868936306063	22.223768627159437	0.0313714936120084	0.7673305832626692	0.00029394537959079694	0.0037341371199999967	0.00042725695113914487	-0.0004370325599999947
p01-s03-c0029-v210-m010-g100-sb0005	p01-s03-c0029	c0029	sb0005	100.0	0.0	34.22103325360408	0.030680017833341455	22.177118416457592	0.029693956206254493	0.7671464736164824	0.00019468490104843265	0.0040074734	0.00031238220222048964	1.0916000000010112e-05
p01-s03-c0029-v210-m010-g100-sb0006	p01-s03-c0029	c0029	sb0006	100.0	0.0	34.21551829601105	0.05204337440656985	22.18858603940288	0.02891506663521583	0.7671113152383906	0.000330416668435006	0.0036996356399999998	0.00027954519022277077	5.178856000000913e-05
p01-s03-c0029-v210-m010-g100-sb0007	p01-s03-c0029	c0029	sb0007	100.0	0.0	34.22417859792031	0.0251675115176475	22.23141734971054	0.020294263006974216	0.7671664592614924	0.00015966879221293042	0.00412460076	0.0005285301719036638	-0.0006870558400000081
p01-s03-c0029-v210-m010-g100-sb0008	p01-s03-c0029	c0029	sb0008	100.0	0.0	34.176831426331134	0.03242118571540457	22.153003491488594	0.02503790953077616	0.7668658024173284	0.00020596740539896078	0.004170012640000001	0.0005418610466388612	0.0007479601600000022
p01-s03-c0029-v210-m010-g100-sb0009	p01-s03-c0029	c0029	sb0009	100.0	0.0	34.222189081964125	0.0440097806762046	22.21632505814422	0.04100857409050764	0.7671537173589555	0.00027915853684907913	0.0042824234599999934	0.0003541590547525072	0.0001261431599999972
p01-s03-c0029-v210-m010-g100-sb0010	p01-s03-c0029	c0029	sb0010	100.0	0.0	34.209378851771866	0.03647327740542502	22.199741534235706	0.0367814571838601	0.7670724733780061	0.00023152135423617373	0.00382129356	0.0002688175021802265	0.00023192448000000426
p01-s03-c0029-v210-m010-g100-sb0011	p01-s03-c0029	c0029	sb0011	100.0	0.0	34.224576776634855	0.055578181192932265	22.20438199720955	0.04075462492745992	0.7671687627231124	0.0003524827029611484	0.003806581020000001	0.00032328346423726246	-2.9395560000007072e-05
p01-s03-c0029-v210-m010-g100-sb0012	p01-s03-c0029	c0029	sb0012	100.0	0.0	34.2429965072933	0.054189632597846905	22.206125496725562	0.04745142245459543	0.7672856140744571	0.0003438614109973122	0.003962428339999997	0.00027177055739644916	0.0001352575600000014
p01-s03-c0030-v210-m010-g100-sb0001	p01-s03-c0030	c0030	sb0001	105.86	1.6904292414674338	34.253185041096174	0.041055796688856255	22.22792731442561	0.03591550713668831	0.7580067935509127	0.0027270840185300168	0.003973388960000001	0.00033808742306783813	-0.00015308952000000478
p01-s03-c0030-v210-m010-g100-sb0002	p01-s03-c0030	c0030	sb0002	106.54	1.9609452114857722	34.107954711498394	0.04171564650402524	22.144925282986346	0.02504726788437652	0.7560651663641632	0.00285024263201421	0.004119240239999994	0.0005048997212789625	0.00031497440000000185
p01-s03-c0030-v210-m010-g100-sb0003	p01-s03-c0030	c0030	sb0003	104.22	1.753014895683946	34.17870798353209	0.044823398277732934	22.17707397737891	0.028542616533064155	0.7600887440120542	0.0029142377788233275	0.0037196022599999957	0.0002884334689554334	-0.0001253549999999941
p01-s03-c0030-v210-m010-g100-sb0004	p01-s03-c0030	c0030	sb0004	104.7	1.4742691028964494	34.262951380562065	0.043766580962405696	22.215441294663847	0.027646324279443957	0.7598570618853833	0.00242400418133956	0.0038512724199999985	0.0005648498016261549	0.0006093358800000025
p01-s03-c0030-v210-m010-g100-sb0005	p01-s03-c0030	c0030	sb0005	103.62	1.176122997871587	34.224661977260936	0.03095741892757442	22.197590943906352	0.02059806200975404	0.7613058221018	0.0018782665047029252	0.0037688999199999972	0.00025040061175186256	-0.00022922551999999055
p01-s03-c0030-v210-m010-g100-sb0006	p01-s03-c0030	c0030	sb0006	104.3	1.8098370656171325	34.198079651064155	0.03871997227216869	22.176694242119652	0.02586886435782666	0.7600864348484376	0.002744491458253541	0.0038737141799999974	0.00039007362598019076	2.5352520000001145e-05
