H_low	H_high	alpha_low_target	alpha_high_target	mutation	response	n_pairs	mean	ci90_low	ci90_high	interpretation
100	1000	0.001	0.01	0	TV	12	-0.0025049578333333315	-0.0027667560668309054	-0.0022431595998357577	Negative: smaller feedback effect at high H
100	1000	0.001	0.01	1e-10	TV	12	-0.002432146083333328	-0.002615459429109942	-0.002248832737556714	Negative: smaller feedback effect at high H
100	1000	0.001	0.01	mutation-modification	TV	12	7.281175000000361e-05	-0.0003009532123262077	0.0004465767123262149	Change in H x alpha interaction caused by mutation
100	1000	0.01	0.1	0	TV	12	-0.02295043241666667	-0.02482015261241553	-0.02108071222091781	Negative: smaller feedback effect at high H
100	1000	0.01	0.1	1e-10	TV	12	-0.022786901333333335	-0.02554420786523838	-0.02002959480142829	Negative: smaller feedback effect at high H
100	1000	0.01	0.1	mutation-modification	TV	12	0.0001635310833333355	-0.0029546064575272208	0.003281668624193892	Change in H x alpha interaction caused by mutation
100	1000	0.1	0.99	0	TV	12	-0.14878417858333334	-0.16786415106089328	-0.1297042061057734	Negative: smaller feedback effect at high H
100	1000	0.1	0.99	1e-10	TV	12	-0.14932836458333332	-0.16708002724847748	-0.13157670191818915	Negative: smaller feedback effect at high H
100	1000	0.1	0.99	mutation-modification	TV	12	-0.0005441859999999894	-0.025568757563802415	0.02448038556380244	Change in H x alpha interaction caused by mutation
1000	10000	0.001	0.01	0	TV	12	-0.0008760415000000003	-0.0009588344543943376	-0.0007932485456056631	Negative: smaller feedback effect at high H
1000	10000	0.001	0.01	1e-10	TV	12	-0.0007916680833333387	-0.0008676852699436807	-0.0007156508967229968	Negative: smaller feedback effect at high H
1000	10000	0.001	0.01	mutation-modification	TV	12	8.437341666666161e-05	-8.471111559635357e-06	0.00017721794489295858	Change in H x alpha interaction caused by mutation
1000	10000	0.01	0.1	0	TV	12	-0.008251735250000001	-0.009025943133465502	-0.007477527366534501	Negative: smaller feedback effect at high H
1000	10000	0.01	0.1	1e-10	TV	12	-0.00815564116666667	-0.00882382129865009	-0.007487461034683249	Negative: smaller feedback effect at high H
1000	10000	0.01	0.1	mutation-modification	TV	12	9.609408333333045e-05	-0.0007470199723133571	0.0009392081389800181	Change in H x alpha interaction caused by mutation
1000	10000	0.1	0.99	0	TV	12	-0.07230711391666667	-0.07675889665455854	-0.06785533117877479	Negative: smaller feedback effect at high H
1000	10000	0.1	0.99	1e-10	TV	12	-0.07044879291666667	-0.07769920077948474	-0.0631983850538486	Negative: smaller feedback effect at high H
1000	10000	0.1	0.99	mutation-modification	TV	12	0.0018583209999999926	-0.005873068037189368	0.009589710037189354	Change in H x alpha interaction caused by mutation
