cell_id	cell	alpha	m	diagnostic	mean_change	ci90_lower	ci90_upper	late_mean	margin	stable
p01-s03-c0063	c0063	0	0	raw-TV	0.0	0.0	0.0	4.3834293833588944e-16	0.002	True
p01-s03-c0064	c0064	0	0.001	raw-TV	5.236786666669885e-06	3.8063872252245605e-06	6.667186108115209e-06	3.732222666666337e-05	0.002	True
p01-s03-c0065	c0065	0	0.01	raw-TV	6.6466733333511705e-06	4.743708110714119e-06	8.549638555988223e-06	8.368946999999368e-05	0.002	True
p01-s03-c0070	c0070	0.01	0	raw-TV	0.001030362650000008	0.000800453232702901	0.001260272067297115	0.005757844146666664	0.002	True
p01-s03-c0070	c0070	0.01	0	host-induced-TV	0.001030362650000008	0.000800453232702901	0.001260272067297115	0.005757844146666226	0.002	True
p01-s03-c0071	c0071	0.01	0.001	raw-TV	0.0009347572533333279	0.0007108151817105919	0.0011586993249560638	0.00552534554666666	0.002	True
p01-s03-c0071	c0071	0.01	0.001	host-induced-TV	0.0009295204666666578	0.0007049403063140018	0.0011541006270193138	0.005488023319999996	0.002	True
p01-s03-c0072	c0072	0.01	0.01	raw-TV	0.00042746512333334655	0.00026459428039911863	0.0005903359662675744	0.003990352093333343	0.002	True
p01-s03-c0072	c0072	0.01	0.01	host-induced-TV	0.0004208184499999953	0.0002587247866847172	0.0005829121133152735	0.003906662623333349	0.002	True
p01-s03-c0077	c0077	0.1	0	raw-TV	0.008447463116666677	0.006938163177511798	0.009956763055821556	0.05492533257666667	0.013731333144166668	True
p01-s03-c0077	c0077	0.1	0	host-induced-TV	0.008447463116666673	0.006938163177511796	0.009956763055821551	0.054925332576666236	0.013731333144166559	True
p01-s03-c0078	c0078	0.1	0.001	raw-TV	0.007286582943333342	0.00608477562988846	0.008488390256778224	0.05268820213333333	0.013172050533333332	True
p01-s03-c0078	c0078	0.1	0.001	host-induced-TV	0.007281346156666675	0.0060795181149068305	0.008483174198426518	0.05265087990666667	0.013162719976666667	True
p01-s03-c0079	c0079	0.1	0.01	raw-TV	0.004185251349999987	0.0029447519420853384	0.0054257507579146365	0.03795175359999999	0.009487938399999998	True
p01-s03-c0079	c0079	0.1	0.01	host-induced-TV	0.0041786046766666375	0.00293903836342182	0.005418170989911455	0.03786806413	0.0094670160325	True
p01-s03-c0084	c0084	0.99	0	raw-TV	0.05192245268333334	0.03917526997034428	0.0646696353963224	0.4277077195966667	0.10692692989916668	True
p01-s03-c0084	c0084	0.99	0	host-induced-TV	0.05192245268333334	0.03917526997034429	0.0646696353963224	0.42770771959666626	0.10692692989916656	True
p01-s03-c0085	c0085	0.99	0.001	raw-TV	0.05040472091333333	0.03529467831062094	0.06551476351604572	0.41583590184999997	0.10395897546249999	True
p01-s03-c0085	c0085	0.99	0.001	host-induced-TV	0.05039948412666665	0.03529035502634162	0.06550861322699168	0.4157985796233334	0.10394964490583335	True
p01-s03-c0086	c0086	0.99	0.01	raw-TV	0.018112788233333295	0.008445086973385875	0.027780489493280713	0.31200593650999997	0.07800148412749999	True
p01-s03-c0086	c0086	0.99	0.01	host-induced-TV	0.01810614155999995	0.00843764184160468	0.02777464127839522	0.31192224704	0.07798056176	True
