contrast	treatment	reference	response	n_pairs	scale	mean	sd	ci90_low	ci90_high	equivalence_margin	status	alpha_target	m_treatment	m_reference	interpretation
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	D0_g100	12	difference in paired host effects	0.0	0.0	0.0	0.0	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	D1_g100	12	difference in paired host effects	7.811648864820368e-05	0.0002942163860395399	-7.441331558169955e-05	0.0002306462928781069	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	D2_g100	12	difference in paired host effects	-9.031499562365633e-06	0.0003149103350992512	-0.00017228961176080315	0.0001542266126360719	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	evenness_g100	12	difference in paired host effects	1.711121651900201e-05	6.39209465931728e-05	-1.602714671524851e-05	5.0249579753252526e-05	0.02	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	TV_g100	12	difference in paired host effects	-0.00029842566666666605	0.00010275915403623363	-0.0003516988166056051	-0.000245152516727727	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	TV_tail_mean	12	difference in paired host effects	-0.00021939973499999943	6.252941093638756e-05	-0.00025181668817220176	-0.00018698278182779712	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.001-vs-0	p01-s03-c0071	p01-s03-c0070	TV_tail_sd	12	difference in paired host effects	-5.3822537257934214e-05	3.3410855808386736e-05	-7.114363675278655e-05	-3.650143776308188e-05	0.05	equivalent	0.01	0.001	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.01-vs-0	p01-s03-c0072	p01-s03-c0070	D0_g100	12	difference in paired host effects	0.0	0.0	0.0	0.0	0.05	equivalent	0.01	0.01	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.01-vs-0	p01-s03-c0072	p01-s03-c0070	D1_g100	12	difference in paired host effects	0.00037914509098183985	0.0015094166455861605	-0.0004033776928500349	0.0011616678748137146	0.05	equivalent	0.01	0.01	0.0	Negative values mean migration reduces the host effect.
migration-modification-alpha-0.01-m-0.01-vs-0	p01-s03-c0072	p01-s03-c0070	D2_g100	12	difference in paired host effects	8.898574035829758e-05	0.0017815317159463903	-0.0008346089224697192	0.0010125804031863143	0.05	equivalent	0.01	0.01	0.0	Negative values mean migration reduces the host effect.
