contrast	treatment	reference	response	n_pairs	scale	mean	sd	ci90_low	ci90_high	equivalence_margin	status	HB	H_treatment	B_treatment	H_reference	B_reference
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	D1_g100	12	relative change	0.13895320416146076	0.09246846629706991	0.09101502759832397	0.18689138072459754	0.05	increase	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	D2_g100	12	relative change	0.10334168564548589	0.11097902966416504	0.045807127845483527	0.16087624344548826	0.05	uncertain	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	evenness_g100	12	absolute difference	0.027586612804454413	0.017837375224098062	0.018339230673462693	0.03683399493544613	0.02	uncertain	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	TV_g100	12	absolute difference	-0.07804301816666666	0.013692004899271713	-0.0851413271864781	-0.07094470914685522	0.05	decrease	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	TV_tail_mean	12	absolute difference	-0.08707319150333333	0.007633688148320192	-0.09103070377683033	-0.08311567922983633	0.05	decrease	1000	1000	1	100	10
fixed-HB-1000-H1000-vs-H100	p01-s03-c0055	p01-s03-c0053	TV_tail_sd	12	absolute difference	-0.00875648011483104	0.0035276485707555873	-0.010585309409936771	-0.006927650819725307	0.05	equivalent	1000	1000	1	100	10
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	D1_g100	12	relative change	0.033677783277953455	0.07150952939028679	-0.003394708384720675	0.07075027494062758	0.05	uncertain	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	D2_g100	12	relative change	0.019651354380543534	0.08590990245038468	-0.024886683689185975	0.06418939245027304	0.05	uncertain	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	evenness_g100	12	absolute difference	0.006710517916168159	0.015160429565494524	-0.0011490625266265863	0.014570098358962905	0.02	equivalent	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	TV_g100	12	absolute difference	-0.020897621583333335	0.013397174731657583	-0.027843082597795374	-0.013952160568871295	0.05	equivalent	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	TV_tail_mean	12	absolute difference	-0.02171447284	0.004933995008272576	-0.024272390510098753	-0.019156555169901245	0.05	equivalent	5000	1000	5	100	50
fixed-HB-5000-H1000-vs-H100	p01-s03-c0056	p01-s03-c0054	TV_tail_sd	12	absolute difference	-0.003824387042043643	0.002296631888904063	-0.0050150236925652495	-0.002633750391522037	0.05	equivalent	5000	1000	5	100	50
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	D1_g100	12	relative change	0.024623267180913472	0.028431265520092116	0.00988372319370248	0.03936281116812446	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	D2_g100	12	relative change	0.015411205219814844	0.041010956957849065	-0.005849994131675525	0.03667240457130522	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	evenness_g100	12	absolute difference	0.005206408219430784	0.005970808765044531	0.002110978001264623	0.008301838437596945	0.02	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	TV_g100	12	absolute difference	-0.03588766508333333	0.006178821469623191	-0.039090934764602854	-0.03268439540206381	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	TV_tail_mean	12	absolute difference	-0.03237104179833333	0.003327492118752413	-0.03409610452608244	-0.03064597907058423	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-10000-H10000-vs-H1000	p01-s03-c0059	p01-s03-c0057	TV_tail_sd	12	absolute difference	-0.002856707596866089	0.0008332037027166663	-0.003288663136017889	-0.002424752057714289	0.05	equivalent	10000	10000	1	1000	10
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	D1_g100	12	relative change	0.0019206662665555985	0.014375307640189338	-0.005531885542737712	0.00937321807584891	0.05	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	D2_g100	12	relative change	-0.0007630652533533363	0.021563246443120063	-0.011942040710173218	0.010415910203466544	0.05	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	evenness_g100	12	absolute difference	0.0003962332512774576	0.003109423189573918	-0.001215776592082838	0.002008243094637753	0.02	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	TV_g100	12	absolute difference	-0.006652429749999997	0.006036052459043873	-0.009781684079755978	-0.003523175420244014	0.05	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	TV_tail_mean	12	absolute difference	-0.007107753423333335	0.002075556304491771	-0.008183778457335776	-0.006031728389330894	0.05	equivalent	50000	10000	5	1000	50
fixed-HB-50000-H10000-vs-H1000	p01-s03-c0060	p01-s03-c0058	TV_tail_sd	12	absolute difference	-0.0004334753205655747	0.0006774294776951879	-0.0007846732501007648	-8.227739103038463e-05	0.05	equivalent	50000	10000	5	1000	50
