run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	source_role	source_run_id	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd	TV_51_75_mean	TV_76_100_mean	TV_late_change
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100.0	0.0	27.53583877901115	2.5327093512973784	19.0564271196195	2.281943980004087	0.7190540995314548	0.019892732340423727	0.24585984974	0.026865663153993406	0.22704074800000001	0.26467895148	0.037638203479999965
p01-s03-c0051-v210-adaptive-g1000-sb0002	p01-s03-c0051	c0051	sb0002	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0002	100.0	0.0	27.197550316344337	1.539173662129793	19.396663362701325	1.5753340906019255	0.7169197112909559	0.012412410592670722	0.27005582017999996	0.023552818395600195	0.2712654942	0.26884614616	-0.002419348039999991
p01-s03-c0051-v210-adaptive-g1000-sb0003	p01-s03-c0051	c0051	sb0003	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0003	100.0	0.0	26.86567451461545	2.1595854107587673	18.238605395511854	1.9851035875650527	0.7138933979745004	0.01779876670302617	0.274685749	0.026005842338893245	0.27812149308	0.27125000492	-0.006871488159999994
p01-s03-c0051-v210-adaptive-g1000-sb0004	p01-s03-c0051	c0051	sb0004	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0004	100.0	0.0	27.8386007981887	1.6864242437623833	19.86047397308464	1.9772306606907786	0.721932247278334	0.013183724453410935	0.23953566538	0.019264609713838643	0.25053360804	0.22853772272	-0.02199588532000002
p01-s03-c0051-v210-adaptive-g1000-sb0005	p01-s03-c0051	c0051	sb0005	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0005	100.0	0.0	27.32971757752897	1.6657202035925378	19.29385909023968	1.641872566630159	0.717919091734056	0.013319350098816168	0.23633790114	0.03570473914399201	0.234413581	0.23826222128000002	0.0038486402800000097
p01-s03-c0051-v210-adaptive-g1000-sb0006	p01-s03-c0051	c0051	sb0006	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0006	100.0	0.0	25.204449096787698	3.3342160902637348	16.95795671709638	3.526108925720916	0.6988160912816583	0.02943647198330998	0.2566469464	0.0241532206903076	0.26789916416	0.24539472864	-0.022504435519999977
p01-s03-c0051-v210-adaptive-g1000-sb0007	p01-s03-c0051	c0051	sb0007	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0007	100.0	0.0	24.334708778773184	1.6115563794950727	16.597985660048366	1.5832786852188823	0.6926448680135522	0.01442040837142105	0.23151873456	0.02556215239530731	0.22062891835999998	0.24240855075999998	0.0217796324
p01-s03-c0051-v210-adaptive-g1000-sb0008	p01-s03-c0051	c0051	sb0008	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0008	100.0	0.0	25.70578534663785	1.3646647795715399	16.831768682066375	1.5589811613597961	0.7047134506751342	0.01158992253282931	0.2631268745	0.03127548109510272	0.27427943272	0.25197431628	-0.022305116439999995
p01-s03-c0051-v210-adaptive-g1000-sb0009	p01-s03-c0051	c0051	sb0009	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0009	100.0	0.0	25.971296447404228	1.3326236813780254	17.81817369111719	1.6630220957148245	0.7069639017413805	0.011227206354824982	0.23770362374	0.03022325157837487	0.25899288784	0.21641435964	-0.04257852820000002
p01-s03-c0051-v210-adaptive-g1000-sb0010	p01-s03-c0051	c0051	sb0010	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0010	100.0	0.0	24.466732509617906	2.2308972053799803	16.694928611289928	1.4886575371607678	0.6933889811052694	0.02004522735522406	0.23871956594	0.033851633757977055	0.22500390272	0.25243522916	0.027431326439999987
p01-s03-c0051-v210-adaptive-g1000-sb0011	p01-s03-c0051	c0051	sb0011	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0011	100.0	0.0	27.30698678692279	1.4949766694447941	19.680700310471696	1.502548010804154	0.7178149884452892	0.01197568906830377	0.24493019232	0.022686496234006186	0.2458663028	0.24399408184	-0.001872220960000004
p01-s03-c0051-v210-adaptive-g1000-sb0012	p01-s03-c0051	c0051	sb0012	H-by-B	100	1	100	0.5	0.5	0.1	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0012	100.0	0.0	28.53306783417841	1.572813401238332	20.59409915741333	1.4641824711085005	0.7273500738765516	0.01199603778280026	0.25326620508000003	0.028695850445040194	0.24586624787999997	0.26066616228	0.01479991440000003
p01-s03-c0052-v210-adaptive-g1000-sb0001	p01-s03-c0052	c0052	sb0001	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0001	100.0	0.0	29.47137902647511	1.5553499819815462	20.987670859725167	1.3653696060579417	0.7344035976160622	0.011470302726504815	0.21578291876000003	0.02051624661174347	0.21079339528000002	0.22077244224	0.009979046959999988
p01-s03-c0052-v210-adaptive-g1000-sb0002	p01-s03-c0052	c0052	sb0002	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0002	100.0	0.0	28.52711316299759	1.7739924787245143	19.760854166081185	1.6711877019356138	0.7272176643662359	0.013501842077669973	0.21507805576	0.02110110329812215	0.21575394203999998	0.21440216948	-0.001351772559999992
