seed_block_id	master_seed	within_run_replicate_index	use
sb0001	666	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0002	667	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0003	668	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0004	669	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0005	670	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0006	671	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0007	672	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0008	673	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0009	674	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0010	675	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0011	676	0	matched exploratory precision replicate; first three continue the seed series and nine are new
sb0012	677	0	matched exploratory precision replicate; first three continue the seed series and nine are new
