seed_block_id	master_seed	use
sb0001	666	exploratory; matched to Stage 2; not held-out confirmation
sb0002	667	exploratory; matched to Stage 2; not held-out confirmation
sb0003	668	exploratory; matched to Stage 2; not held-out confirmation
sb0004	669	exploratory; matched to Stage 2; not held-out confirmation
sb0005	670	exploratory; matched to Stage 2; not held-out confirmation
sb0006	671	exploratory; matched to Stage 2; not held-out confirmation
sb0007	672	exploratory; matched to Stage 2; not held-out confirmation
sb0008	673	exploratory; matched to Stage 2; not held-out confirmation
sb0009	674	exploratory; matched to Stage 2; not held-out confirmation
sb0010	675	exploratory; matched to Stage 2; not held-out confirmation
sb0011	676	exploratory; matched to Stage 2; not held-out confirmation
sb0012	677	exploratory; matched to Stage 2; not held-out confirmation
