experiment_id	run_id	cell_id	cell	bridge_code	bridge_group	variant_id	pilot_tier	seed_block_id	master_seed	within_run_replicate_index	config_path	config_sha256	scratch_relative_path	status
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0001	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0001	666	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0001.toml	f4b0d5a37c4828f2941a52c13f65d1099032a0b524774abc28dc6aaaadf40af5	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0001	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0002	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0002	667	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0002.toml	ac9820e599077aa22b7a3623a7fb5c60a99261573f478c12289e6f27e205fa25	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0002	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0003	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0003	668	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0003.toml	01526c40c1dc6ba7eeb810e7a0c33f923565d5b81945ebeaf96721cbe0ca5b03	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0003	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0004	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0004	669	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0004.toml	d5b5303ca42d0a77cc7668f2cf9f7cab152f0689c66bf7d64818d7e37eeb3bf5	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0004	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0005	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0005	670	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0005.toml	beb6d8693990541a7e7d64e6935ffe9e79c0cfe5ef7bb196f4762cb2b42c2d6d	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0005	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0091-v210-bridge-g100-sb0006	p01-s03-c0091	c0091	A1	A	v210-bridge-g100	stage3-wave3	sb0006	671	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0091-v210-bridge-g100-sb0006.toml	0d751ad7ab43f80b32467cd8db84e94d61bf949835617c6edd38232985d23bc1	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0091/sb0006	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0001	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0001	666	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0001.toml	ab0aee0d32ee8711c95278a58d7ee6053c70404d2f211d936311ce3abbb35296	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0001	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0002	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0002	667	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0002.toml	53b97497780a4f73ae1ee1103424bf80c4062fba2f194898e5e4d4ce4770b107	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0002	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0003	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0003	668	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0003.toml	ff50a83e95556219e65a81566fefbe4fe0af50213e3ffba652acd18716bc157b	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0003	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0004	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0004	669	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0004.toml	393c2850b5feb7f912870e862db7f61ed94163a35d2e91419f1cbd3dbb3818cd	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0004	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0005	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0005	670	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0005.toml	f2d7ec2941bf9c4fde9ee31600ce9bc022ede52d83e906df0892246cc164bc03	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0005	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0092-v210-bridge-g100-sb0006	p01-s03-c0092	c0092	A2	A	v210-bridge-g100	stage3-wave3	sb0006	671	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0092-v210-bridge-g100-sb0006.toml	20ad6f73dbd50e38b0d19ce07f084b833dd1f628b7ad88c58c9c57238f9d5a41	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0092/sb0006	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0093-v210-bridge-g100-sb0001	p01-s03-c0093	c0093	A3	A	v210-bridge-g100	stage3-wave3	sb0001	666	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0093-v210-bridge-g100-sb0001.toml	5578e81f789de12d6191ae70466d12cfde9bda335cf9c3820dd27c4fff877178	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0093/sb0001	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0093-v210-bridge-g100-sb0002	p01-s03-c0093	c0093	A3	A	v210-bridge-g100	stage3-wave3	sb0002	667	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0093-v210-bridge-g100-sb0002.toml	e6ba0610d0db689de6639f44663ca964003740999890ae2e5c61bb92f812540f	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0093/sb0002	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0093-v210-bridge-g100-sb0003	p01-s03-c0093	c0093	A3	A	v210-bridge-g100	stage3-wave3	sb0003	668	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0093-v210-bridge-g100-sb0003.toml	a3145fcb3a34442a02bd83ca203d83b0fc3685f121fe41398799a4263081aaa6	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0093/sb0003	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0093-v210-bridge-g100-sb0004	p01-s03-c0093	c0093	A3	A	v210-bridge-g100	stage3-wave3	sb0004	669	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0093-v210-bridge-g100-sb0004.toml	ea06b56a6afb81028d4102d46c481bf31a73678156ac5fa9c859f2eee7a1d9cc	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0093/sb0004	prepared
phase1-stage3-wave3-v210-bridge-g100	p01-s03-c0093-v210-bridge-g100-sb0005	p01-s03-c0093	c0093	A3	A	v210-bridge-g100	stage3-wave3	sb0005	670	0	p01-neutral-feedback/configs/s03-parameter-map-wave3-v210-bridge-g100/runs/p01-s03-c0093-v210-bridge-g100-sb0005.toml	7c82b80f2ef61d19325967d559967c5257803539902594e2c1351e19aefa147d	p01-neutral-feedback/s03-parameter-map-wave3-v210-bridge-g100/p01-s03-c0093/sb0005	prepared
