cell_id,parameter_name,value,value_type,unit,role
p01-s01-c0001,H,100,integer,hosts,input
p01-s01-c0001,f,0,integer,fraction,input
p01-s01-c0001,e,0,integer,cells_per_host,derived
p01-s01-c0001,R,0,integer,cells,derived
p01-s01-c0001,alpha,0,integer,fraction,derived
p01-s01-c0001,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0001,host_counts_mode,full,string,,technical
p01-s01-c0001,B,10,integer,cells_per_infection,nuisance
p01-s01-c0001,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0001,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0001,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0001,host_generations,5,integer,host_passages,technical
p01-s01-c0001,c,1.0,float,ratio,nuisance
p01-s01-c0001,N_E,1000000000,integer,cells,derived
p01-s01-c0001,sampling_mode,reservoir,string,,nuisance
p01-s01-c0001,within_host_selection,false,boolean,,nuisance
p01-s01-c0001,free_living_selection,false,boolean,,nuisance
p01-s01-c0001,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0001,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0001,environment_counts_mode,final,string,,technical
p01-s01-c0001,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0001,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0002,H,100,integer,hosts,input
p01-s01-c0002,f,0,integer,fraction,input
p01-s01-c0002,e,0,integer,cells_per_host,derived
p01-s01-c0002,R,0,integer,cells,derived
p01-s01-c0002,alpha,0,integer,fraction,derived
p01-s01-c0002,u,1e-10,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0002,host_counts_mode,full,string,,technical
p01-s01-c0002,B,10,integer,cells_per_infection,nuisance
p01-s01-c0002,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0002,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0002,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0002,host_generations,5,integer,host_passages,technical
p01-s01-c0002,c,1.0,float,ratio,nuisance
p01-s01-c0002,N_E,1000000000,integer,cells,derived
p01-s01-c0002,sampling_mode,reservoir,string,,nuisance
p01-s01-c0002,within_host_selection,false,boolean,,nuisance
p01-s01-c0002,free_living_selection,false,boolean,,nuisance
p01-s01-c0002,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0002,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0002,environment_counts_mode,final,string,,technical
p01-s01-c0002,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0002,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0003,H,100,integer,hosts,input
p01-s01-c0003,f,1e-2,float,fraction,input
p01-s01-c0003,e,10000000,integer,cells_per_host,derived
p01-s01-c0003,R,1000000000,integer,cells,derived
p01-s01-c0003,alpha,0.5,float,fraction,derived
p01-s01-c0003,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0003,host_counts_mode,full,string,,technical
p01-s01-c0003,B,10,integer,cells_per_infection,nuisance
p01-s01-c0003,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0003,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0003,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0003,host_generations,5,integer,host_passages,technical
p01-s01-c0003,c,1.0,float,ratio,nuisance
p01-s01-c0003,N_E,1000000000,integer,cells,derived
p01-s01-c0003,sampling_mode,reservoir,string,,nuisance
p01-s01-c0003,within_host_selection,false,boolean,,nuisance
p01-s01-c0003,free_living_selection,false,boolean,,nuisance
p01-s01-c0003,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0003,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0003,environment_counts_mode,final,string,,technical
p01-s01-c0003,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0003,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0004,H,1000,integer,hosts,input
p01-s01-c0004,f,1e-3,float,fraction,input
p01-s01-c0004,e,1000000,integer,cells_per_host,derived
p01-s01-c0004,R,1000000000,integer,cells,derived
p01-s01-c0004,alpha,0.5,float,fraction,derived
p01-s01-c0004,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0004,host_counts_mode,panel,string,,technical
p01-s01-c0004,B,10,integer,cells_per_infection,nuisance
p01-s01-c0004,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0004,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0004,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0004,host_generations,5,integer,host_passages,technical
p01-s01-c0004,c,1.0,float,ratio,nuisance
p01-s01-c0004,N_E,1000000000,integer,cells,derived
p01-s01-c0004,sampling_mode,reservoir,string,,nuisance
p01-s01-c0004,within_host_selection,false,boolean,,nuisance
p01-s01-c0004,free_living_selection,false,boolean,,nuisance
p01-s01-c0004,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0004,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0004,environment_counts_mode,final,string,,technical
p01-s01-c0004,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0004,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0005,H,10000,integer,hosts,input
p01-s01-c0005,f,1e-4,float,fraction,input
p01-s01-c0005,e,100000,integer,cells_per_host,derived
p01-s01-c0005,R,1000000000,integer,cells,derived
p01-s01-c0005,alpha,0.5,float,fraction,derived
