cell_id,phase_id,stage_id,label,mnemonic,cell_dirname,experimental_group,comparison_set,confirmatory,architecture_profile_id,selection_profile_id,fitness_profile_id,initial_population_id,config_path,status,notes
p01-s01-c0001,p01,s01,"No return, mutation off",h100-f0-u0-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0001,NR,no-return,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0001.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0002,p01,s01,"No return, within-host mutation on",h100-f0-u1em10-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0002,NRM,no-return|mutation-gating,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0002.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0003,p01,s01,"Matched return R=1e9, H=100",h100-f1em2-u0-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0003,MR0,matched-r1e9-u0|mutation-bracket|feedback-h100,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0003.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0004,p01,s01,"Matched return R=1e9, H=1000",h1000-f1em3-u0-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0004,MR0,matched-r1e9-u0|feedback-h1000,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0004.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0005,p01,s01,"Matched return R=1e9, H=10000",h10000-f1em4-u0-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0005,MR0,matched-r1e9-u0,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0005.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0006,p01,s01,"Matched return R=1e9, H=100000",h100000-f1em5-u0-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0006,MR0,matched-r1e9-u0,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0006.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0007,p01,s01,Mutation bracket u=1e-12,h100-f1em2-u1em12-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0007,MUT,mutation-bracket,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0007.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0008,p01,s01,Mutation bracket u=1e-11,h100-f1em2-u1em11-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0008,MUT,mutation-bracket,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0008.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0009,p01,s01,Mutation bracket u=1e-10,h100-f1em2-u1em10-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0009,MUT,mutation-bracket|matched-r1e9-u1e-10,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0009.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
p01-s01-c0010,p01,s01,Mutation bracket u=1e-9,h100-f1em2-u1em9-c1-b10-k1000000000-ts500-archpanmictic-selneutral-fitneutral,p01-s01-c0010,MUT,mutation-bracket,false,arch-panmictic-v1,sel-neutral-v1,fit-neutral-v1,ip001-fisher100,p01-neutral-feedback/configs/s01-pilot/p01-s01-c0010.toml,prepared,Exploratory first-pilot core cell; not confirmatory; not yet launched.
